stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,1,0,1,1,1,2,0,0,59,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,0,359.53,0,9.85,0,0,0,0,0,0.82,0.82,113.28,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,8.86,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81,684.82,0,16.11,0,0,0.81,0,4.83,0,0,138.58,0,0,0,0,0
 48-58,0,0,0.57,1.15,0,0,45.9,0,0,1.15,6.31,0,0,0,0,0,0,0,0.57,8.61,0.57,0,0,911.2,0.57,12.62,1.15,0,1.15,0,4.02,0,0,121.07,0,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,0,54.97,0,0.98,0.98,7.85,0,0,0,0,0,0.98,0.98,0,4.91,0,0.98,0.98,1306.41,0,14.72,0,0,0,0,1.96,0,0,121.71,0,0,0,0,0.98
 72-82,0,0,0,3.93,4.91,0,167.86,0,0,0,26.5,0.98,0,1.96,0,0,0,0,0,19.63,0,0,2.94,1457.77,0,22.58,0.98,0,3.93,0,0.98,0,0,111.91,0,0,2.94,0.98,3.93
 84-94,0,0,0,13.81,1.06,0,125.32,0,1.06,0,28.68,0,2.12,0,1.06,1.06,0,1.06,0,9.56,1.06,0,2.12,719,0,21.24,3.19,0,3.19,0,4.25,0,0,49.92,0,2.12,1.06,0,0
 96-106,0,2.19,0,12.02,3.28,0,104.91,1.09,0,0,30.6,1.09,0,0,1.09,1.09,0,1.09,0,16.39,0,0,3.28,702.7,1.09,24.04,2.19,0,4.37,0,3.28,0,0,30.6,1.09,1.09,2.19,0,2.19
108-118,0,0,0,6.13,0.77,0.77,93.45,0,0,0,24.51,0.77,0,0.77,0,0,0,0,0,9.19,0,0,1.53,939.84,0,13.02,0.77,0,0.77,0,2.3,0,0,24.51,0.77,0,0.77,0,0.77
120,0,0,0,5.88,5.88,0,92.11,0,0,0,25.48,1.96,0,3.92,0,3.92,0,0,0,5.88,0,1.96,1.96,940.7,1.96,9.8,1.96,0,1.96,0,0,0,0,37.24,0,1.96,0,0,0
