stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,210.85,3215.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0,0,0,0,0
  5-6,91.94,1103.33,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,251.32,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,10.51,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.06,5.26,0,0,47.32,0,76.23,23.66,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,62.94,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.29,12.59,0,0,69.23,0,18.88,12.59,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,17,73,4,0,3,0,3,0,1,25,0,4,9,0,0,0,0,5,1,0,7,12,0,0,0,2,0,97,1,10,20,0,1,9,0,1,0
 24-34,0,0,0,7.39,55,0.82,0,3.28,0,17.24,0,1.64,4.93,0.82,9.85,14.78,0,0,0.82,0,8.21,9.03,0,3.28,33.66,0.82,1.64,0,0,0,219.99,0,0,15.6,0.82,1.64,9.03,0,4.93,0.82
 36-46,0,0,0,0.81,25.78,0,0,0.81,0,11.28,0,0.81,9.67,0,12.89,4.83,0,2.42,1.61,0.81,11.28,4.83,0.81,0.81,20.95,0.81,1.61,0,0,0,170.8,0,0,6.45,0,0,1.61,0,1.61,0.81
 48-58,0,0,0,0,12.05,0,0,6.89,0,12.62,0.57,1.72,17.79,1.15,8.03,5.16,1.15,1.15,1.15,0,9.75,2.3,1.15,0,26.4,0,1.72,0,0,0,108.45,0,0,6.89,0,0,3.44,0,0.57,0.57
 60-70,0,0,0.98,0,23.56,0,0,12.76,0,7.85,0,2.94,33.37,0.98,10.8,3.93,0,0.98,1.96,0,14.72,1.96,2.94,2.94,30.43,0,1.96,0,0,0,114.84,0,0,6.87,0,0,1.96,0.98,0.98,0
 72-82,0,0,1.96,0,29.45,0,0,8.83,1.96,4.91,0.98,6.87,106.02,0,14.72,4.91,0,3.93,2.94,0,9.82,1.96,0,0,48.1,0,2.94,0,0,0,98.17,0,0,6.87,0,0,2.94,0,3.93,0
 84-94,0,0,3.19,5.31,57.35,0,0,10.62,0,24.43,0,5.31,169.93,0,20.18,16.99,2.12,1.06,6.37,1.06,6.37,3.19,1.06,2.12,20.18,0,2.12,0,0,0,257.01,1.06,0,21.24,0,0,1.06,2.12,2.12,0
 96-106,0,0,4.37,10.93,88.52,0,0,12.02,0,12.02,0,12.02,156.28,0,28.41,12.02,1.09,3.28,5.46,0,7.65,3.28,0,3.28,41.53,0,4.37,2.19,0,1.09,236.05,0,0,9.84,0,0,1.09,6.56,4.37,0
108-118,0,0,0.77,11.49,82.72,0.77,2.3,4.6,0,17.62,0,11.49,135.58,1.53,35.23,15.32,0.77,3.06,13.79,0,6.89,1.53,0,0,28.34,0,3.06,0.77,0,0,147.83,0,0,12.26,0,0,0.77,9.19,1.53,0
120,0,0,1.96,0,68.59,0,0,9.8,0,15.68,0,1.96,123.47,0,35.28,11.76,0,1.96,21.56,0,5.88,13.72,1.96,0,25.48,0,3.92,0,0,0,111.71,0,0,17.64,0,0,0,7.84,1.96,0
