stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,18.39,239.06,6.13,0,0,0,0,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0,89.38,5.26,0,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,59.79,3.15,0,0,18.88,0,0,0,0,0
 14-21,0,0,0,1,0,28,0,0,0,0,0,0,0,0,25,2,0,0,1,0,1,0,6,0
 24-34,0,0,0,0,0,22.16,0.82,0,0,0.82,0,0,0,0,11.49,0,2.46,0.82,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,4.03,4.03,0,0,0,0,0,0,0,13.7,0,0,0,0,0.81,0,0.81,4.03,0
 48-58,0,0,0,0,0,1.72,2.87,0,0,0,0.57,0.57,0,0,2.3,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0,8.83,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0,0,0,0,0.98,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,4.37,2.19,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,1.53,2.3,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
