stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,26.29,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,31.47,0,0,0,9.44,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,3,4,0,0,0,0,0,1,0,0,4,0,2,20,0,0,0,0,0,1,0,2,7,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,1.64,0,0.82,25.45,0,0,0,0,0.82,0,0,0,7.39,0,0.82,0
 36-46,0,0,0,0,4.83,0,0,0,2.42,0,0,0,0,6.45,0,1.61,22.56,0,0,0.81,0,0.81,0,0,0,5.64,0,0.81,0
 48-58,0,0,0,0,4.59,0,0,0,4.59,0,0,0,0,4.59,0,1.72,12.05,0,0,0.57,0,0,0,0,0,6.31,0,0,0
 60-70,0,0,0,0.98,3.93,0,0,0,7.85,0,0,0,0,9.82,0,0,8.83,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,5.89,0,0,1.96,6.87,0,0,0.98,0,14.72,1.96,0.98,7.85,0,0,0,0,0,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,3.19,4.25,0,0,1.06,5.31,0,0,0,0,8.5,1.06,0,5.31,0,1.06,1.06,0,2.12,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,7.65,2.19,0,0,0,8.74,1.09,1.09,4.37,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,3.83,0.77,0.77,0,2.3,0.77,0,0,1.53,3.83,0,2.3,4.6,0.77,0,1.53,0,2.3,0,0,0,0.77,0,2.3,0.77
120,0,0,0,0,7.84,0,0,0,9.8,1.96,0,0,0,9.8,0,1.96,9.8,0,1.96,1.96,0,5.88,0,0,0,0,0,0,0
