stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.83,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,2.63,15.77,55.2,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,22.03,25.18,0,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,1,2,1,1,0,0,1,6,0,0,46,1,1,0,0,2,1,1
 24-34,0,0.82,0,2.46,0,0,0,0,0,0,0.82,0,2.46,0,0,2.46,20.52,0.82,0,1.64,0,0,0,0,0.82,1.64,1.64
 36-46,0,0,0,1.61,0,0,0.81,0,0.81,0.81,0,0,2.42,0,0,1.61,8.06,0,0,0,0,0,0,0.81,0,3.22,0
 48-58,0,0,0,3.44,0,0,0,0.57,0,0,0,0,1.15,0,1.15,0.57,3.44,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,6.87,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,2.12,0,1.06,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
