stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,3,2,3,0,0,0,1,1,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,26.27,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0,0,0,0,0,93.46,0,0,0,0,9.67,0,0
 48-58,0,0,0.57,0,3.44,0.57,0,1.72,0,126.24,0.57,0,0,0,24.67,0.57,0
 60-70,0,0,0,0,3.93,0,0,0.98,0,180.6,0,0,0,0,33.37,0,0
 72-82,0,0,0,0,8.83,1.96,0,2.94,0,106.02,0,0,0,0,9.82,0,0
 84-94,0,0,0,0,7.43,0,1.06,0,1.06,55.23,0,0,0,0,6.37,0,0
 96-106,0,0,0,0,1.09,2.19,0,3.28,0,29.51,1.09,0,0,0,4.37,0,1.09
108-118,0,0,0,0,3.06,1.53,0,0.77,0,32.17,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,23.52,1.96,0,0,0,0,0,0
