stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,0,2,0,0,0,6,0,0,0,3,0,3,4,0,0,0
 24-34,0,0.82,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,9.03,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,3.22,0.81,0.81,0,0,0,0,0.81,0,0,6.45,0,0,1.61,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,2.3,0,1.15,0,0,0,0,0.57,0,0,6.31,0,0,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,3.93,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,4.25,0,0,0,0,1.06,1.06,0,0,0,3.19,1.06,0,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,1.53,0,0,0,0,0,0.77,0,0,1.53,3.83,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96
