stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,1.64,0.82,0,0,6.57,0.82,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,8.86,0.81,0,0,0.81,0,0,3.22,0
 48-58,0,0,0,0,1.15,0,0,0.57,0,0,0.57,0,0,0,8.03,0,0,0,0.57,0,0,2.3,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,2.94,0,0.98,0,0,1.96,0,0,0,0,5.89,0,0.98,0,0,0,0,1.96,0.98
 84-94,0,0,0,1.06,1.06,0,1.06,0,0,0,1.06,0,0,1.06,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,1.09,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,3.92,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
