stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,109,0,0,0,0,0
 24-34,0,0,0.82,4.93,0,4.93,0,1.64,0,0.82,0.82,0,0,0,2.46,0,2.46,0.82,0,4.1,13.13,1.64,40.22,0,0.82,0,0,1263.3,1.64,7.39,0,3.28,0
 36-46,0,0,0,7.25,0,6.45,0.81,4.83,0.81,4.03,0.81,0,0.81,0.81,3.22,0,3.22,0,0.81,1.61,12.09,1.61,33.03,1.61,0,0,0,1398.64,2.42,6.45,0,0,0
 48-58,0,0,0,7.46,1.15,26.97,0.57,17.79,0,4.59,1.15,0.57,0.57,0.57,1.72,0,0.57,0,1.15,11.48,14.35,1.15,70,0,0.57,0.57,0.57,1328.93,0.57,9.75,0,0,0.57
 60-70,0,0,0,5.89,0.98,17.67,0,11.78,0,2.94,0,0,0.98,0,6.87,0,0.98,0,0,4.91,13.74,0,48.09,0,0,0.98,0,997.23,1.96,6.87,0.98,0,0
 72-82,0,0,0,7.85,1.96,6.87,0,9.82,0,1.96,1.96,0,0,0,1.96,0,0,0.98,0,3.93,8.83,1.96,13.74,0,0,0,0,682.25,0,2.94,0.98,0,2.94
 84-94,0,0,1.06,10.62,1.06,5.31,0,26.55,0,0,3.19,1.06,0,0,16.99,1.06,0,0,0,2.12,19.12,0,16.99,0,0,0,0,1766.17,6.37,0,0,0,0
 96-106,0,0,0,6.56,2.19,4.37,0,3.28,0,3.28,2.19,0,0,0,7.65,0,1.09,0,0,4.37,10.93,0,10.93,0,0,0,0,688.49,1.09,1.09,0,0,0
108-118,0,0,0,0.77,1.53,1.53,0,3.83,0.77,1.53,0.77,0,0,0,2.3,0,0.77,0,0,2.3,14.55,0.77,3.83,0,0,0,0,465.71,3.06,0,0,0,0
120,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,219.5,1.96,0,0,0,0
