stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,10.51,2.63,2.63
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,1,0,0,0,0,0,0,2,0,2
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57
 72-82,0,0,0,0.98,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,3.19,1.06,0,1.06,1.06,1.06,0,1.06
 96-106,0,0,0,0,1.09,1.09,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,0.77,0,0,0
