stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,47.2,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,14,0,1,1,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0,0,9.85,0,1.64,105.07,0,11.49,0,0,0,0,0,0,0,17.24,0,0,1.64,0,0.82
 36-46,0,0,0,0,2.42,0,0,31.42,0,0,0,2.42,0,0,0,0,0,0,0,0.81,26.59,0.81,1.61,333.55,0,12.09,0,0,0,0,0,0,0,31.42,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,78.61,0,0.57,0.57,12.05,0,0,0,0,0,0,0.57,0,24.1,0,4.59,558.89,0,6.31,0.57,0,0,0,0,0,0,40.74,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,5.89,0,0,199.25,0,0,0,30.43,0,0,0,0,0,0,0.98,0,26.5,0,2.94,1039.43,0,8.83,2.94,0,0.98,0.98,0,0,0,55.95,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,8.83,1.96,0,448.62,0,0,0.98,57.92,0.98,0,0.98,0,0,0,0,0,40.25,0.98,0.98,1168.18,0,10.8,2.94,0,0,2.94,0,0,0,47.12,1.96,0,1.96,0.98,0
 84-94,0,0,0,0,23.36,1.06,0,337.73,1.06,0,0,38.23,0,0,1.06,1.06,1.06,0,0,0,36.11,4.25,9.56,677.58,0,5.31,5.31,0,0,3.19,0,1.06,0,40.36,1.06,1.06,1.06,2.12,0
 96-106,0,0,1.09,0,21.86,0,1.09,370.48,1.09,0,0,36.06,1.09,0,2.19,1.09,1.09,2.19,4.37,0,24.04,2.19,4.37,581.39,1.09,5.46,2.19,0,0,5.46,0,0,0,14.21,0,0,2.19,1.09,0
108-118,0,0,0,0,4.6,0.77,0.77,242.04,0,0.77,0.77,22.98,0,0.77,1.53,0,0.77,0,0.77,0,21.45,0,4.6,636.52,0.77,1.53,1.53,0,0.77,1.53,0,1.53,0,10.72,1.53,0.77,2.3,0,1.53
120,0,0,0,0,15.68,0,0,211.66,0,0,0,37.24,1.96,0,1.96,0,0,1.96,0,0,17.64,1.96,1.96,893.66,1.96,3.92,3.92,0,1.96,1.96,0,0,0,13.72,0,3.92,1.96,1.96,0
