stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,23.66,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,7,0,1,5,0,0,0,1,0,1,1,0,0,19,2,0,0,0,12,3,0,2,0,1,0,7,5,3,0,0,13,0,8
 24-34,0,0,0,0,3.28,2.46,0,0,0,0,0,2.46,10.67,6.57,0,24.63,1.64,0,0,1.64,16.42,0,0,0,1.64,0,0.82,0.82,0.82,3.28,0,0,55.82,0,16.42
 36-46,0.81,0,0,0,0.81,2.42,0,0,0.81,0,0,2.42,12.09,2.42,0,13.7,0.81,0,0,0,7.25,0,0,0,0,0,0,0,0,0.81,0,0,49.15,0,4.83
 48-58,0,0,0,0,0.57,1.72,0.57,0,0,1.15,0,4.59,9.18,0.57,0,9.75,5.16,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,44.18,0,3.44
 60-70,0,0,0,0,0,0.98,0,0,0,2.94,0,1.96,15.7,2.94,0.98,2.94,15.7,0,0,0,9.82,0,0,0,0,0,0.98,0,0,0,0,0.98,37.3,0,0.98
 72-82,0,0,0,0,0.98,1.96,0,0,2.94,1.96,0,5.89,19.63,0.98,0.98,4.91,37.3,0.98,0.98,0,6.87,0,0,0,0.98,0,0,0,0,0,0.98,0.98,80.5,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,4.25,5.31,0,4.25,38.23,0,2.12,8.5,21.24,0,1.06,0,9.56,0,0,0,5.31,0,0,0,0,0,0,1.06,71.16,1.06,0
 96-106,0,0,0,0,0,3.28,0,0,6.56,7.65,0,7.65,46.99,1.09,1.09,8.74,22.95,0,0,1.09,6.56,0,1.09,0,8.74,0,0,0,0,0,0,2.19,79.78,1.09,0
108-118,0,0,0,1.53,0.77,1.53,0,0.77,1.53,9.19,0,3.83,23.74,0.77,6.13,6.13,34.47,0.77,0,1.53,11.49,0,0,0,5.36,0,0,0,0,0,0,0,62.81,0,0.77
120,0,0,0,0,0,0,0,0,1.96,13.72,1.96,1.96,35.28,0,3.92,1.96,11.76,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,54.87,0,0
