stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,41,0,2,0,2,0,1,0,0,1,33,0,0,0,0
 24-34,0,0.82,0,0.82,0,4.1,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,213.42,0,4.1,1.64,0,0.82,0,0,0,0.82,77.16,0,0,0,0
 36-46,0,0,0,0.81,0,29,0,0,0,3.22,0,0,0,0,0,0,0.81,0,0,0,528.52,0,1.61,0,0,0,0,0,0,0,124.07,0,0,0,0
 48-58,0,0,0,1.72,0,67.71,0,0,1.15,19.51,0,0,0,0,0,0,6.31,0,0,0.57,605.94,0.57,2.87,1.15,0,1.15,0,0,0,0,121.65,0,0.57,0,0.57
 60-70,0,0,0,0,0,112.88,0,0,0.98,17.67,0.98,0.98,0.98,0,0,0,7.85,0.98,0.98,0,687.07,0,3.93,0.98,0,1.96,0,0.98,0.98,0,119.75,0,0,0,1.96
 72-82,0,0.98,0,7.85,0.98,150.19,0,0,1.96,16.69,0.98,0,0,0.98,0,0,15.71,0.98,0,1.96,554.64,0,4.91,0,0,0,0,0,0,0,53.01,0.98,1.96,0,0
 84-94,0,0,0,4.25,2.12,87.09,0,1.06,1.06,21.24,0,0,0,0,1.06,0,12.74,0,1.06,0,279.32,0,1.06,1.06,0,0,0,0,0,0,24.43,0,2.12,0,0
 96-106,0,0,0,4.37,2.19,65.57,0,0,1.09,14.21,1.09,1.09,1.09,0,0,0,7.65,0,0,3.28,236.05,0,3.28,3.28,0,0,0,0,0,0,10.93,0,0,1.09,1.09
108-118,0,0,0,0.77,0,52.09,0,0,1.53,5.36,0,0,0.77,0.77,0.77,0.77,2.3,0,0,0,269.62,0,1.53,1.53,0,0.77,0,0.77,0,0,8.43,0,0,0,0
120,0,0,0,3.92,0,39.2,1.96,0,0,17.64,0,1.96,1.96,0,0,0,7.84,0,0,3.92,264.57,0,0,0,0,0,0,0,0,0,5.88,1.96,1.96,0,0
