stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,28.92,0,0,2.63,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,15.73,0,0,3.15,3.15,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,16.42,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,2.42,0,0,0,21.75,0,0
 48-58,0,0,0,0.57,0.57,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0,12.05,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,33.37,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,0.98,0,39.27,0,0
 84-94,0,0,0,4.25,0,2.12,0,1.06,0,0,2.12,0,0,0,0,1.06,0,1.06,0,91.34,0,0
 96-106,0,0,0,6.56,0,0,1.09,0,0,0,1.09,0,0,1.09,3.28,3.28,2.19,0,0,104.91,1.09,1.09
108-118,0,0,0,4.6,1.53,1.53,0,1.53,0,2.3,2.3,0.77,0,0,0,1.53,0.77,0,0,62.81,0,0
120,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.55,0,0
