stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7,4,2,0,3,1,0,0,0,0,7,0,3,66,0,0,0,3,1,14,0,11,19,0,0
 24-34,0,1.64,1.64,17.24,0,5.75,0,0,0,1.64,0.82,6.57,0,3.28,107.53,1.64,0,0.82,0,5.75,0,0.82,0,31.19,0,0
 36-46,0,2.42,0,27.39,0,3.22,0,0.81,0,0,0,4.03,0.81,0.81,53.98,0,0,0,0,0.81,0,0,0,17.72,0,0.81
 48-58,0,0,0,23.53,0,1.15,0,0,0,0,0,1.72,0,0.57,19.51,0,0.57,0.57,0,1.72,0,0,0,8.03,0,0
 60-70,0,1.96,0,26.5,0,1.96,0.98,0,0,0,0,4.91,0,0,13.74,0,0.98,0,0,0.98,0,0,0,4.91,0,0
 72-82,0,0,0,5.89,0,2.94,0,0,0.98,0,0,0.98,0,0,18.65,0,0,0.98,0,1.96,0,0,0,0.98,0.98,0
 84-94,0,1.06,0,3.19,0,1.06,1.06,0,0,0,0,3.19,0,0,1.06,0,0,0,0,2.12,0,0,0,1.06,0,0
 96-106,0,1.09,0,4.37,0,0,0,0,0,0,0,0,0,0,13.11,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,3.06,0.77,0,1.53,0,0,0,0,0.77,0,0,6.13,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,9.8,0,3.92,0,0,0,1.96,1.96,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
