stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,240,1,0,0,0,0,2,6,9,3,11,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,25.45,18.88,4.1,0,0,0,0,0,15.6,1.64,3.28,14.78,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,4.03,0.81,0.81,82.98,12.09,4.83,0,0,0,0,0,10.47,2.42,1.61,20.95,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,5.74,1.15,0,0,0,0,0,0,0,0,0,0,0,0.57,13.2,0,0.57,85.5,2.87,2.3,0.57,0,0,1.15,0,6.89,1.72,0,16.64,0,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,36.32,0,0,0,5.89,0.98,0,0.98,2.94,0,0,0,0.98,0,26.5,0,0,268.94,6.87,0.98,0,0,0,0,0,9.82,0,0,14.72,0,1.96,0.98,0,0
 72-82,0,0,4.91,0,0.98,1.96,0.98,87.37,1.96,0,0.98,13.74,1.96,0,0.98,0,0,1.96,0.98,1.96,0,74.61,0,1.96,278.79,0,0.98,0,0,0.98,0,0,18.65,0,0,9.82,0,1.96,0,0.98,0.98
 84-94,0,0,4.25,0,6.37,0,7.43,44.61,1.06,1.06,2.12,7.43,3.19,0,1.06,0,1.06,1.06,0,3.19,0,44.61,0,1.06,139.13,1.06,2.12,1.06,0,1.06,5.31,0,39.3,0,0,7.43,1.06,0,1.06,0,0
 96-106,0,0,4.37,0,14.21,0,3.28,50.27,5.46,3.28,0,10.93,1.09,0,1.09,4.37,0,2.19,0,1.09,0,101.63,1.09,1.09,162.83,3.28,1.09,2.19,0,1.09,4.37,0,43.71,0,0,7.65,0,0,1.09,0,2.19
108-118,0,0,3.06,0,9.96,0,12.26,45.19,1.53,3.06,0,10.72,9.19,0,0,0.77,0,5.36,0.77,0,0,68.17,0,3.06,178.47,6.13,2.3,1.53,0,0.77,1.53,0,22.98,0,0,3.83,0,0,0,0.77,0
120,1.96,0,1.96,0,9.8,0,3.92,47.03,0,0,3.92,3.92,1.96,0,1.96,3.92,1.96,0,0,0,0,62.71,0,5.88,201.86,3.92,0,0,0,3.92,0,0,21.56,0,0,11.76,0,0,0,0,0
