stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,3,1,0,0,0,1,0,1,10,0,0,1,0,1,2,1,5,8,0
 24-34,0,0.82,0,0.82,0.82,0,0,2.46,0,0,0.82,12.31,0,0.82,0,0,0,0,0,0,1.64,0.82
 36-46,0,0,0,4.03,2.42,0,0,0.81,0,0,0.81,15.31,0,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0.57,1.15,0,0,1.15,0,0,2.3,4.59,0.57,0.57,0,0,0.57,0,0,0,2.3,0
 60-70,0,0.98,0,0.98,0,0,0,3.93,0,0,1.96,8.83,0,0,0,0,1.96,0,0,0,1.96,0
 72-82,0,0,0,0.98,0.98,0.98,0.98,2.94,0,0,0,9.82,0,0,0,0,1.96,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,4.25,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,2.19,0,1.09,0,3.28,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0.77,0,0.77,0,0,0,3.06,0,0,0,6.89,0,0,0,0,0,0,0,0,0,1.53
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
