stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,65.89,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,42.91,796.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,18.39,18.39,0,0,0,0,0,0
  7-9,21.03,15.77,7.89,0,0,15.77,0,0,0,21.03,0,0,0,0,0,0,0,299.67,7.89,0,0,144.58,2.63,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,129.03,3.15,0,0,40.91,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,3,0,1,1,0,0,0,0,3,0,0,3,22,0,1,0,1,4,7,3,11,0,0,0
 24-34,0,0,0,0.82,0.82,4.93,0,1.64,0,0,0,0,0,6.57,0,0,1.64,27.91,0.82,0,0,0,37.76,0,0.82,4.1,0,0,0
 36-46,0,0,0,0.81,0,4.03,0,0,0,0,0.81,0.81,0,2.42,0,0,2.42,6.45,0,0,0,0,11.28,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,4.02,0,1.72,0,0,0.57,0,0,4.59,0.57,0.57,0.57,6.89,0,0,0,0,8.03,0,0,1.15,0,0,0
 60-70,0,0,0,0.98,0,11.78,0.98,0.98,0,0,0,0,0,2.94,0,1.96,1.96,4.91,0,0,0.98,0,10.8,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,10.8,0,1.96,0,0,0,0,0,1.96,0,0,0,9.82,0.98,0,0,0,4.91,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,3.19,0,0,0,0,16.99,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,0,0,1.09,0,1.09,4.37,1.09,0,0,4.37,0,0,0,0,10.93,0,0,0,0,1.09,0
108-118,0,0,0,0,0,1.53,0,0.77,0.77,0,0,0.77,0,1.53,0,0,0,4.6,0,0,0,0,2.3,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,9.8,0,0,1.96,0,0,0
