stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,3,4,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,0,0,0,0,0,3.28,0,0,0.82,48.43,1.64,1.64,0,0,0,0,0,0,0,9.85,0,0.82,0
 36-46,0,0.81,0,2.42,0,0.81,4.03,0,0,0,0,0,4.03,0,0,2.42,41.89,0.81,5.64,0,0,0,0,0,0,0,17.72,0,1.61,0
 48-58,0,0,0,4.02,0,0,1.72,0,0,0,0,0,3.44,0,0,0.57,30.99,0.57,8.61,0,0,0.57,0,0.57,0,0,8.61,0,0.57,0
 60-70,0,2.94,0.98,13.74,0,0,5.89,0,0,0,0.98,0,10.8,0,0,0,74.6,0,13.74,0,0,1.96,0,0,0,0,3.93,0,0,0.98
 72-82,0,0,0,16.69,0,0,1.96,0.98,0,0,0.98,0,9.82,0,0.98,0,117.8,0.98,32.39,0.98,0,0.98,0,2.94,0,0,0.98,0,0.98,0.98
 84-94,0,1.06,0,7.43,0,0,2.12,0,0,0,1.06,0,7.43,0,0,0,63.72,1.06,16.99,0,0,0,0,2.12,0,0,2.12,1.06,2.12,0
 96-106,0,4.37,0,25.14,0,0,4.37,0,0,2.19,1.09,0,6.56,1.09,0,0,78.68,1.09,34.97,0,0,1.09,0,1.09,0,0,2.19,0,1.09,0
108-118,0,1.53,0,9.96,0,0.77,0.77,0.77,0,0,0,0.77,3.83,0,0,0,71.23,0,20.68,0.77,0,0.77,0,2.3,1.53,0,1.53,0,1.53,0.77
120,0,0,0,11.76,0,0,3.92,0,0,3.92,1.96,0,11.76,0,0,0,109.75,0,13.72,0,0,0,0,0,0,0,1.96,0,0,0
