stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,18.4,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,23,1,1,0,1,0,0,0,5,0,1,5,9,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,5.75,0,0,0,1.64,0,0,0.82,0,1.64,0,0,0,0,7.39,0,0,1.64,50.89,0.82,0.82,1.64,0,0,0,0,0,0,0,1.64,19.7,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,0,16.11,0,0,0,3.22,0,0,0,0.81,0,0,0.81,0,0.81,11.28,0,0.81,2.42,90.23,0.81,0.81,0,0,0,1.61,0,0,0,0,0,24.17,0,3.22,0,0
 48-58,0,0,0.57,0,0.57,0,0,28.12,0,0,0,4.59,0,0,1.15,0,0,0,0,0,0.57,8.03,0,0.57,3.44,62.54,0,1.15,0,0,0,0,0,0,0,0,0,16.64,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,33.37,0,0,0,8.83,0,0,0,0,0.98,0,0,0,0,8.83,0,0,2.94,100.12,0,2.94,0.98,0,0,0.98,0,0,0,0,0,15.7,0,0.98,0,0
 72-82,0,0,0,0,1.96,1.96,0,27.49,0,0,0,16.69,1.96,0,0.98,0,0,0,0,0,0,16.69,0,0,1.96,61.84,0,0.98,0,0,0,0.98,0,0,0,0,0,6.87,0,1.96,0,0
 84-94,0,0,1.06,0,1.06,2.12,0,29.74,0,0,0,5.31,0,0,1.06,0,0,1.06,0,0,0,13.81,0,1.06,2.12,38.23,1.06,1.06,0,0,0,2.12,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,2.19,2.19,0,17.49,0,0,0,9.84,2.19,0,0,1.09,1.09,0,1.09,0,0,10.93,2.19,0,1.09,39.34,0,5.46,4.37,0,1.09,0,0,0,0,0,0,1.09,1.09,2.19,1.09,1.09
108-118,0,0,0,0,2.3,0.77,1.53,16.85,0.77,0.77,0.77,7.66,0.77,0,0.77,3.06,1.53,0,0.77,0,1.53,11.49,0.77,0,0.77,39.06,0,1.53,2.3,0,0.77,1.53,0,0,0,0,0,1.53,0,3.06,0.77,0
120,0,0,0,0,7.84,0,0,7.84,1.96,0,0,9.8,1.96,0,1.96,0,0,1.96,0,1.96,0,9.8,0,1.96,0,43.12,0,3.92,0,0,0,1.96,0,0,0,0,0,3.92,0,5.88,0,0
