stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,2,4,0,0,0,0,0,1,0,0,0,0,0,7,0,8,22,1,1,1,0,0,5,0,2,9,6,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,2.46,0,0,3.28,0,0,0.82,0,0,0,0,0.82,18.88,0,15.6,43.51,0,1.64,0,6.57,0,0,0,0.82,0,13.95,0,0,18.06,0,0.82
 36-46,0,0,0,0,1.61,0,3.22,0,0,2.42,2.42,0,0.81,0,0.81,0,0,0,24.17,0,5.64,20.14,0.81,0,0,6.45,0,0,0,0,0,9.67,0,0,9.67,0,0.81
 48-58,0,0,0,0,0.57,0,1.15,0,0,1.15,1.72,0,0.57,0.57,0.57,0,0.57,0.57,21.23,0,4.59,11.48,0,0,0,1.15,0,0,0,0,0,4.02,0,0,5.74,0,0.57
 60-70,0,0,0,0,1.96,0,1.96,0,0,3.93,1.96,0,0,0.98,1.96,0,0.98,0,20.61,0.98,0,11.78,0,0,0,0,0,0,0,0,0,3.93,0,0,3.93,0.98,0
 72-82,0,0,0,0,0.98,1.96,1.96,0,0,0.98,3.93,0,0.98,0,0,0.98,0,0,22.58,0,0.98,10.8,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,12.76,0,0.98
 84-94,0,0,0,0,1.06,1.06,4.25,0,1.06,2.12,2.12,0,1.06,3.19,2.12,1.06,0,0,21.24,1.06,1.06,9.56,0,1.06,0,2.12,0,0,1.06,0,0,1.06,0,0,5.31,3.19,1.06
 96-106,0,0,0,0,1.09,0,4.37,0,0,2.19,5.46,0,0,0,1.09,0,0,0,6.56,1.09,0,5.46,1.09,0,0,1.09,0,0,0,0,0,1.09,0,1.09,13.11,0,0
108-118,0,0,0.77,0,1.53,0.77,3.83,0,1.53,0.77,4.6,0,0.77,1.53,3.06,1.53,0,0.77,14.55,0,1.53,9.19,0,1.53,0,0.77,0,0,0.77,0,0,0.77,0.77,0,10.72,0,0
120,0,0,0,0,3.92,1.96,1.96,1.96,1.96,0,3.92,1.96,0,3.92,0,0,0,0,3.92,0,0,13.72,0,0,0,3.92,0,0,0,0,0,0,0,0,5.88,0,0
