stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,63,12,0,26,0,1,0,12,3,1,2,0,1,1,0,1,0,37,0,0,42,396,16,2,2,14,0,14,0,60,7,443,1068,124,0,0,6,0,0
 24-34,0,5.75,17.24,422.74,99.32,0,742.05,227.38,35.3,16.42,99.32,14.78,7.39,27.91,27.91,50.89,13.13,23.8,36.12,36.12,604.97,17.24,5.75,343.94,6016.05,80.44,71.41,61.56,0.82,2.46,566.39,0,6.57,40.22,237.23,640.27,1064.65,0,0,160.07,0,49.25
 36-46,0,4.83,3.22,249.76,58.81,0,1372.86,515.63,31.42,38.67,286.82,17.72,4.03,25.78,31.42,19.34,13.7,19.34,28.2,58.01,827.42,16.11,18.53,272.32,6809.52,66.06,74.93,53.98,1.61,3.22,515.63,1.61,2.42,28.2,137.77,38.67,1608.92,0,0.81,131.32,0,87.82
 48-58,1.15,4.02,0.57,364.94,261.66,0,3570.21,487.16,82.63,86.64,718.98,14.35,10.33,35,72.87,20.66,31.56,36.15,31.56,72.3,1645.1,29.84,45.9,401.09,8506.08,77.46,60.82,75.74,0.57,4.02,527.33,0.57,0.57,22.38,108.45,0,1867.73,0,4.59,161.24,1.72,200.26
 60-70,0,1.96,0.98,244.4,189.43,0,2955.36,376.9,70.67,49.08,451.5,26.5,6.87,15.7,53,21.59,26.5,18.65,25.52,25.52,1066.91,17.67,45.15,209.06,5075.45,43.19,45.15,40.24,1.96,7.85,393.59,0,1.96,14.72,48.09,0,743.99,4.91,12.76,80.48,3.93,126.62
 72-82,0,17.67,0.98,234.62,304.32,5.89,2762.4,291.55,44.17,103.07,632.19,50.06,1.96,30.43,83.44,26.5,39.27,27.49,44.17,21.6,1630.54,29.45,65.77,232.65,4496.01,20.61,55.95,51.05,0.98,10.8,304.32,1.96,0.98,11.78,24.54,0,456.47,20.61,48.1,164.92,47.12,145.29
 84-94,1.06,33.99,2.12,686.08,491.72,15.93,2469.24,431.19,135.94,80.71,575.62,116.82,6.37,27.61,169.93,90.27,78.59,41.42,87.09,50.98,1533.58,46.73,84.96,251.7,3595,46.73,80.71,106.2,0,15.93,1675.9,1.06,0,45.67,32.92,0,307.99,48.85,49.92,204.97,61.6,120.01
 96-106,0,41.53,4.37,1262.24,845.86,53.55,3228.27,699.42,202.18,110.38,1003.23,261.19,2.19,68.85,309.28,151.91,99.45,101.63,249.17,42.62,2252.36,103.82,99.45,352.99,4424.94,64.48,160.65,185.78,2.19,49.18,1956.2,4.37,0,65.57,71.04,0,246.98,86.33,73.22,371.57,99.45,197.81
108-118,0,16.09,0.77,819.58,310.98,81.96,2097.21,543.07,171.58,86.55,661.03,176.17,0.77,27.57,186.13,87.32,117.19,57.45,200.68,49.02,1701.97,52.09,63.57,284.94,4083.35,60.51,79.66,114.13,0.77,36,1107.58,0,0,28.34,24.51,0,144,55.15,42.13,199.15,53.62,143.24
120,0,3.92,0,405.68,243.01,31.36,1177.83,358.64,72.51,45.08,409.6,101.91,0,27.44,109.75,21.56,50.95,17.64,88.19,9.8,862.31,17.64,33.32,243.01,2535.96,35.28,56.83,70.55,0,33.32,391.96,0,1.96,23.52,15.68,0,82.31,23.52,29.4,103.87,27.44,50.95
