stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,6,0,0
 24-34,0,0,0,40.22,0,0,0.82,0,0,0,0,0,0.82,2.46,0,0,0,0,0,57.46,0,0,9.85,4.93,0.82,0,0,0,7.39,0,0.82,0,2.46,0,0,71.41,0,0
 36-46,0,0,0,25.78,0.81,0,1.61,0,0,2.42,0,0,0.81,7.25,0,0,0,0,0.81,101.51,0,0,13.7,7.25,3.22,0,0,0,13.7,0,0,0,1.61,0,0,82.98,0,0.81
 48-58,0,0,0,53.94,0,0,2.87,0.57,7.46,6.31,0,0,1.15,18.94,0,0,0,0,0,176.73,0,1.15,14.92,10.9,1.15,0,0,0.57,4.02,0,0,0,0.57,0,0,59.1,0,0.57
 60-70,0,0,0,84.41,0,0,4.91,0,6.87,6.87,1.96,1.96,2.94,23.56,0,0,0.98,1.96,0,292.49,0,2.94,28.46,11.78,2.94,0,0,0.98,17.67,0,0.98,0,1.96,1.96,1.96,36.32,0.98,0
 72-82,0,0,0.98,203.2,0.98,0,44.17,0.98,8.83,17.67,2.94,21.6,3.93,36.32,2.94,0,0.98,0.98,0,522.24,2.94,8.83,66.75,34.36,4.91,0,0,4.91,6.87,0,0,0.98,0.98,8.83,6.87,79.51,5.89,0.98
 84-94,0,0,0,329.23,0,0,40.36,1.06,32.92,5.31,2.12,52.04,4.25,60.54,5.31,1.06,0,0,0,336.67,0,6.37,30.8,25.49,2.12,1.06,0,5.31,26.55,0,0,0,1.06,33.99,5.31,63.72,4.25,0
 96-106,0,0,1.09,462.27,1.09,0,57.92,0,43.71,8.74,13.11,174.86,8.74,66.66,12.02,2.19,1.09,2.19,0,552.98,5.46,19.67,59.01,64.48,14.21,3.28,0,17.49,26.23,0,1.09,0,1.09,34.97,4.37,92.89,7.65,0
108-118,0.77,0,0.77,497.11,0.77,0.77,21.45,0.77,43.66,12.26,7.66,223.66,6.89,45.96,6.13,1.53,0.77,2.3,0,528.51,2.3,10.72,63.57,42.13,5.36,0.77,0,13.02,26.04,0,1.53,0,0.77,57.45,3.06,73.53,2.3,2.3
120,0,0,1.96,276.33,0,0,17.64,0,23.52,11.76,3.92,97.99,7.84,37.24,11.76,3.92,3.92,1.96,0,411.55,9.8,19.6,45.08,39.2,1.96,3.92,0,23.52,13.72,0,1.96,0,0,19.6,0,37.24,5.88,0
