stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,15.77,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,8,1,12,0,0,1,0,0,0,0,0,2,2,0,5,18,0,0,0,0,0,1,38,2,0
 24-34,0,0,0,0,0,2.46,0,0.82,0,0,0,0,0.82,0,0,0,0,1.64,7.39,0.82,0,0,0,0,0,11.49,0.82,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0.81,0.81,0,0,0,0,0,0.81
 48-58,0,0.57,0,0,0,5.16,0,0,0,0,0,0,1.72,0,0,0.57,0,0,2.87,0,0,0.57,0,0,0,0,0.57,1.15
 60-70,0,0,0,0.98,0,4.91,0,0,1.96,0,0,0,0.98,0,0,6.87,0,0.98,1.96,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,1.96,0,0,0,3.93,0,0,11.78,0,0,2.94,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,15.93,0,0,0,0,0,1.06,5.31,0,0,7.43,0,1.06,2.12,0,1.06,0,0,2.12,0,0,1.06,2.12
 96-106,0,0,0,5.46,0,5.46,2.19,0,2.19,1.09,0,0,2.19,0,1.09,5.46,1.09,1.09,5.46,0,0,0,0,14.21,0,0,0,0
108-118,0,0,0,5.36,0,15.32,0,0,1.53,0.77,0,0,0,0.77,0,9.19,0,3.83,6.13,0,0,0.77,0,13.02,0,0,0,0.77
120,0,0,0,3.92,0,1.96,0,1.96,0,0,1.96,3.92,1.96,1.96,0,5.88,0,3.92,3.92,0,0,0,0,74.47,0,0,0,0
