stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,2.87,0,1.15,0,0
 60-70,0,0,0.98,0.98,1.96,0,0,0.98,0,2.94,0,4.91,0,0,0,0.98
 72-82,0,0,0.98,0,1.96,0,0,4.91,0,0.98,0,11.78,0,0,0,0
 84-94,1.06,0,0,0,1.06,0,0,1.06,0,2.12,0,22.3,0,1.06,0,0
 96-106,3.28,0,2.19,0,2.19,1.09,0,3.28,1.09,2.19,1.09,24.04,0,1.09,2.19,0
108-118,0.77,0,1.53,1.53,4.6,0.77,0.77,1.53,0,1.53,0,21.45,0,0,0.77,0
120,1.96,0,0,0,0,0,0,3.92,0,1.96,0,11.76,0,0,0,1.96
