stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,22,0,1,0,0,0,0,0,2,0,0,1,11,0,0,0,0,0
 24-34,0,0,2.46,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,44.33,0.82,0,0,0,0,1.64,0,0,0.82,0,0,18.88,0,0,0,0,0
 36-46,0,0,2.42,0,0,5.64,0.81,0,1.61,0,0,0,0,0,0,0,4.03,0,0.81,120.04,0,0,0,0,0,1.61,0,0,0,0,0,35.45,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,17.79,0.57,1.15,3.44,0.57,0,0,0,0,0,0,3.44,0,1.15,140.58,0,0,0,0,0,0.57,0,0,0,0.57,0,16.07,0,0,0,0,0.57
 60-70,0,0,0,0,0,102.08,0,1.96,20.61,0.98,0,0,0,0.98,0,0.98,10.8,0,0.98,466.22,1.96,0.98,0,0,0,0.98,0,0,0,0,0,68.71,0,0,0,0,0
 72-82,0,0,5.89,0.98,0,217.93,1.96,0,76.57,6.87,0,0,1.96,0.98,0.98,0,36.32,0,2.94,815.76,0,0.98,0.98,0,0,0.98,0,0,0,0,0,68.72,0.98,0,0,0,0
 84-94,0,0,10.62,4.25,0,142.31,1.06,0,43.54,6.37,0,2.12,4.25,0,1.06,1.06,22.3,0,1.06,408.88,0,0,1.06,0,1.06,4.25,0,0,1.06,0,0,39.3,1.06,1.06,1.06,2.12,1.06
 96-106,0,0,9.84,3.28,0,136.61,0,0,50.27,6.56,0,0,3.28,1.09,1.09,0,30.6,1.09,1.09,356.27,0,0,0,0,0,0,1.09,0,1.09,0,0,14.21,0,0,2.19,0,1.09
108-118,0,0,19.92,3.06,0.77,129.45,0,0,48.26,13.02,0,1.53,6.89,0.77,1.53,0.77,22.98,0.77,0.77,429.71,0,0,0,0,0,4.6,0,0,0,0,0,9.19,0,0,1.53,0,0.77
120,0,0,15.68,5.88,0,54.87,0,0,21.56,5.88,0,0,0,0,0,0,21.56,0,1.96,229.29,0,0,0,0,1.96,1.96,0,0,0,0,0,5.88,0,0,0,0,0
