stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,28,0,0,0,2,0,0,0,0,3,0,2,7,0,0,0,0,0,4,0,0,11,0,0,0,0,0
 24-34,0,0,0,31.19,2.46,0,0,0.82,0,0,0,0,4.1,0,1.64,30.37,0,0,0,0,0,0,0,0.82,14.78,0,0,0.82,0,0
 36-46,0,0,0.81,25.78,0.81,0,0,2.42,0,0,0,0,0.81,0,0.81,70.09,0.81,0,0,0,0.81,0,0,0,24.98,0,0,0,0,0
 48-58,0,0,0,54.51,7.46,0,0,3.44,0,0,0.57,0,5.74,0,0.57,106.73,0.57,0,0,0,0.57,0,0,0,24.67,0,0,0,0,0
 60-70,0,0,0.98,87.36,42.21,0,0.98,6.87,0,0,0.98,0,5.89,0,0,223.79,0,2.94,1.96,0,0.98,0,0,0,51.04,0,0,0,0,1.96
 72-82,0,0,2.94,88.35,45.16,0,2.94,8.83,0.98,0,0,0,9.82,0.98,0,226.76,0,0,0.98,0,0.98,0,0,0,22.58,1.96,0,0,1.96,0.98
 84-94,0,0,3.19,66.91,40.36,1.06,0,12.74,1.06,1.06,0,0,8.5,0,0,126.38,0,0,2.12,0,1.06,0,0,0,13.81,5.31,0,1.06,0,0
 96-106,0,0,1.09,85.24,39.34,0,0,7.65,1.09,0,0,0,6.56,0,0,98.36,1.09,0,4.37,0,0,0,0,0,6.56,5.46,0,1.09,0,1.09
108-118,0,0,0.77,56.68,23.74,0,0.77,9.96,0.77,0,0,0.77,6.89,0,0,135.58,0.77,0,1.53,0,0.77,0,0,0,4.6,2.3,0.77,0.77,0,0
120,0,0,0,47.03,13.72,0,1.96,7.84,1.96,0,1.96,0,3.92,0,0,115.63,1.96,0,0,0,3.92,0,1.96,0,3.92,0,0,1.96,1.96,0
