stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,40.91,0,0,0,6.29,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,232.88,3.15,0,0,50.35,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,62,1,0,7,0,0,6,0,5,0,0,1,0,0,1,8,0,0,4,176,8,1,1,2,0,6,8,0,9,65,0,0,0,0
 24-34,0,0,0,15.6,0,0,47.61,0.82,0,3.28,0,0,0.82,1.64,0.82,0,0,1.64,33.66,0.82,0,9.03,341.48,0.82,2.46,10.67,0,0,9.85,0,0.82,0.82,76.34,0,0.82,0,0
 36-46,0,0,0,4.83,0,0,65.26,0,0,9.67,0.81,0,0,0,0,0,0,0.81,26.59,0,0,5.64,281.18,0,0,0.81,0,0,4.03,0,0,0,67.68,0,0,0,1.61
 48-58,0,0,0,7.46,0.57,0,76.89,0.57,0,14.35,0,0,0.57,0,0,0,0,0.57,26.4,0,1.72,3.44,68.28,0,0.57,1.15,0,0,0,0.57,0.57,0,16.07,0,1.15,0,0.57
 60-70,0.98,0,0,3.93,0,0,73.61,1.96,0.98,17.67,1.96,0,0,1.96,0,0,2.94,0,25.52,0,1.96,0.98,53,0.98,0.98,0,0,0,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,3.93,0,0,38.28,0,0.98,26.5,0.98,0,0.98,0,0,0,0,1.96,37.3,0,0.98,4.91,44.17,0,0,3.93,0,0,1.96,0,0,0,1.96,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,0,27.61,0,0,8.5,1.06,0,1.06,0,0,2.12,0,0,15.93,0,1.06,3.19,35.05,0,1.06,1.06,0,0,0,0,0,0,3.19,0,3.19,0,0
 96-106,0,0,0,1.09,0,0,22.95,0,0,16.39,1.09,0,0,1.09,0,0,1.09,1.09,13.11,0,1.09,1.09,16.39,0,0,1.09,0,0,1.09,0,1.09,0,1.09,1.09,2.19,1.09,0
108-118,0,0,0,0.77,2.3,0.77,19.15,0,0,6.89,2.3,0,0,0,0,0,0,0.77,9.96,0,0,0.77,30.64,0,1.53,1.53,0,0.77,0.77,0,2.3,0,0,0,2.3,0,0
120,0,0,0,1.96,1.96,0,15.68,0,0,13.72,0,0,0,0,1.96,1.96,1.96,1.96,17.64,0,0,1.96,31.36,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
