stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,135,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,20,0,7,15,3,0,0,2,0,1,0,1,1,16,0,84,0,0
 24-34,0,0,0,2.46,0.82,18.06,0,3.28,0,0,0,11.49,0.82,0,13.95,0,0.82,0,0,0,0,73.88,0,20.52,45.97,0.82,0,0,0,0,1.64,0.82,0,0,20.52,0,335.73,0,0
 36-46,0,0,0,0,0,3.22,0,2.42,0,0,0,2.42,0.81,0,13.7,0,0,0,0,0,0,108.77,0.81,23.36,41.09,0,0,0,0,0,0.81,0,0,0,6.45,0,238.48,0,0
 48-58,0,0,0,0,0,1.15,0,6.89,0.57,0,0.57,5.74,0,0,13.77,0,0,0,0,0,1.72,126.24,0.57,14.92,33.85,0,0.57,0.57,0,0,0.57,0,0,0,8.61,0,199.11,0,0
 60-70,0,0,0,0,0,0.98,0,4.91,0,0,0.98,7.85,0,0,12.76,0,0,0,0,0,0,93.24,1.96,12.76,15.7,0,0,0,0,0.98,1.96,1.96,0,0,3.93,0.98,166.86,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,10.8,0,0,2.94,16.69,0,0,17.67,0,0,0.98,0,0,0,117.8,0,12.76,23.56,0,0.98,0.98,0,3.93,0.98,0.98,0,0,8.83,2.94,345.54,0,0.98
 84-94,0,0,0,0,2.12,1.06,0,4.25,0,0,4.25,5.31,1.06,0,11.68,0,0,0,0,0,0,77.53,5.31,8.5,9.56,0,0,1.06,0,1.06,0,0,0,0,9.56,3.19,306.93,1.06,0
 96-106,0,0,0,0,2.19,4.37,0,6.56,0,0,5.46,7.65,0,0,21.86,1.09,0,0,0,1.09,0,60.11,3.28,4.37,20.76,0,0,1.09,0,1.09,0,2.19,0,0,19.67,4.37,380.31,4.37,0
108-118,0.77,0,0,0,2.3,0.77,0.77,14.55,0,3.06,3.06,6.13,0,0,9.19,0.77,0,0,0,0.77,0,54.38,0.77,5.36,13.02,0,0,0.77,0,1.53,1.53,2.3,0,0,8.43,0.77,304.85,1.53,0
120,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,1.96,0,0,52.91,1.96,3.92,5.88,0,0,0,0,1.96,1.96,0,0,0,5.88,1.96,307.69,1.96,0
