stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,liver,mesenchyme,neural,notochord,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,672.07,5758.76,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0
  5-6,637.48,2764.47,0,0,0,0,0,12.26,0,0,0,30.65,6.13,18.39,0,55.17,0,0,0
  7-9,2.63,5.26,5.26,0,18.4,0,0,7.89,0,0,0,265.5,2.63,26.29,0,0,0,0,0
 10-12,0,0,0,0,12.59,0,0,0,0,0,0,31.47,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,1.72,6.31,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,7.85,0,0,0,0,0,3.93,3.93,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,2.94,0,2.94,0,0,0,2.94,4.91,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,1.06,1.06,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,6.56,0,0,0,0,0,1.09,3.28,0,0,0,0,0,0,1.09
108-118,0,0,0,0,2.3,0,1.53,0,1.53,0,3.83,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
