stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,47.32,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,3.15,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,100.7,3.15,0,0,40.91,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,0,0,0,0,0,1,3,0,0,0,0,0,5,0,0,3,33,2,0,0,1,0,0,0,3,0,7,0,0,1,0,0
 24-34,0,0,0,3.28,0,0,4.1,0,0.82,0.82,0.82,0,0,0,0,0,1.64,3.28,0,0,2.46,40.22,0.82,0.82,0.82,0,0,4.93,0,0,0.82,5.75,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,0,7.25,0,0,0.81,2.42,0,0,0,0,0,0,4.03,0.81,0,2.42,20.95,0,0,0.81,0,0,1.61,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,13.2,0,0.57,0.57,3.44,0,0,0.57,0.57,0,0.57,8.61,0,0,0.57,29.26,0,0.57,0,0,0,0.57,0,0,0,6.89,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,0,0,18.65,0,0,0,8.83,0.98,0.98,0,0.98,0,0,18.65,0,0.98,2.94,28.46,0.98,0,0.98,0,0,1.96,0,0,0,3.93,0,0.98,0,0,0.98
 72-82,0,0,0,2.94,0,0,14.72,0,0,0,6.87,0.98,0,0,0,0,0,17.67,0,0,1.96,29.45,0,0,2.94,0,0,0.98,0,0,0,7.85,0,0,0.98,0,0
 84-94,0,0,0,6.37,1.06,1.06,13.81,0,2.12,0,5.31,1.06,0,0,0,0,0,20.18,1.06,0,2.12,15.93,1.06,0,0,0,0,3.19,0,0,0,2.12,1.06,0,0,0,0
 96-106,0,0,0,5.46,0,0,9.84,0,0,1.09,7.65,2.19,0,2.19,2.19,0,0,19.67,0,0,1.09,29.51,0,1.09,0,0,0,1.09,0,0,0,1.09,0,0,2.19,0,1.09
108-118,0,0,0,6.13,0,0.77,10.72,0.77,2.3,2.3,9.19,1.53,0,3.83,0.77,1.53,0.77,16.85,0,0,0,25.28,0,0,0.77,0,0.77,1.53,0,0,0,0,1.53,0.77,2.3,0.77,0.77
120,1.96,0,0,9.8,0,0,5.88,0,0,0,7.84,0,0,0,0,0,1.96,7.84,0,0,1.96,29.4,0,1.96,0,0,0,11.76,0,0,0,5.88,0,0,5.88,0,0
