stage,axial,blastomeres,erythrocytes,eye,glial,immune,liver,mesenchyme,mural_cell,neural,spinal_cord
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0
 14-21,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,1.64,0
 36-46,0,0,0,0,0,2.42,0,0.81,0,2.42,0
 48-58,0,0,0.57,0,0,14.92,0,0,0,1.15,0.57
 60-70,0,0,0,0,0,25.52,1.96,0,0.98,1.96,0
 72-82,0,0,0,0.98,0.98,36.32,1.96,1.96,0,3.93,0
 84-94,0,0,0,0,0,59.47,2.12,2.12,0,1.06,0
 96-106,0,0,1.09,2.19,0,65.57,8.74,1.09,0,4.37,0
108-118,0,0,0,0,0,52.09,8.43,0.77,0,1.53,0
120,0,0,0,0,0,76.43,15.68,0,0,0,0
