stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,612.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,23.66,0,0,31.54,0,0,0,0,5.26,0,0,0,0,0,0,254.99,15.77,0,0,99.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,15.73,0,0,0,0,3.15,0,0,0,0,0,0,129.03,9.44,0,0,47.2,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,4.1,0,0,2.46,15.6,0.82,0.82,0.82,0,1.64,0,0,0.82,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,2.42,0,0,0,12.89,0,0.81,0,0,0.81,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,4.02,0,0.57,1.72,0,0.57,0,0,5.16,0,1.15,1.72,12.62,0,0.57,0,0,2.3,0,0,0,5.74,0,0,1.72,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,5.89,0,0,1.96,13.74,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,9.82,0,0.98,1.96,0,0,0,0,17.67,0.98,0.98,0,23.56,0,0.98,0,0,2.94,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,5.31,0,0,1.06,1.06,0,1.06,0,12.74,1.06,0,1.06,8.5,0,0,1.06,0,5.31,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,4.37,1.09,0,2.19,1.09,0,1.09,0,6.56,0,1.09,0,9.84,0,1.09,3.28,0,1.09,0,1.09,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,1.53,0,1.53,0.77,0.77,2.3,0.77,0,0,0.77,7.66,0,0,1.53,9.96,0,0.77,0.77,0,3.06,0,0,0,0,0,0,0.77,2.3
120,0,0,0,0,1.96,0,5.88,0,0,3.92,0,0,1.96,0,11.76,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0
