stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,15.73,0,0,28.32,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,50,17,0,4,0,1,0,2,0,1,0,4,0,0,0,14,0,0,9,57,9,0,0,0,0,1,0,5,1,3,8,18,0,0,23,0,0
 24-34,0,0,0.82,14.78,4.1,0,16.42,0,9.03,0,0,0,1.64,0,3.28,0,0,3.28,39.4,0,0,17.24,105.89,11.49,0,0.82,0,0,0.82,0,0,0.82,0,2.46,31.19,0,0,72.24,0,2.46
 36-46,0,0,0,7.25,11.28,0,16.11,0,6.45,0.81,4.83,0,2.42,0,1.61,1.61,0,2.42,50.76,0,0.81,11.28,94.26,8.86,0,0.81,0,0,8.06,0,0.81,0,0,0,21.75,0,0,44.31,0,2.42
 48-58,0.57,0,0,6.31,31.56,0,16.07,0,3.44,3.44,18.36,0.57,4.02,0,0,0.57,0,6.89,65.99,0,1.15,10.9,101.56,2.3,1.15,2.3,0,0,4.59,0,0,0,0,0,26.4,0,0.57,28.12,0,4.02
 60-70,0,0,0,10.8,47.11,0,33.37,0.98,6.87,8.83,28.46,0.98,4.91,0.98,0,5.89,0,2.94,107.97,0,2.94,4.91,151.15,3.93,0,0.98,0,2.94,5.89,0,0,0,0.98,0,31.41,0,1.96,21.59,1.96,5.89
 72-82,0,0,0,6.87,155.1,0,46.14,1.96,3.93,2.94,56.94,0,5.89,1.96,0,5.89,0.98,3.93,234.62,0,11.78,11.78,209.09,0.98,0,2.94,0,0.98,1.96,0,0,0,0,0,21.6,0,5.89,62.83,5.89,9.82
 84-94,0,0,0,21.24,128.51,0,41.42,1.06,9.56,5.31,36.11,2.12,2.12,1.06,1.06,23.36,0,8.5,143.38,0,5.31,2.12,109.39,2.12,1.06,1.06,0,1.06,11.68,0,0,0,1.06,0,12.74,1.06,3.19,46.73,4.25,8.5
 96-106,0,0,0,19.67,144.26,1.09,34.97,1.09,9.84,3.28,46.99,2.19,2.19,5.46,0,25.14,0,1.09,137.7,1.09,10.93,5.46,126.77,5.46,2.19,2.19,0,1.09,14.21,0,0,0,0,0,8.74,2.19,3.28,45.9,9.84,7.65
108-118,0,0,0.77,20.68,88.85,0,35.23,0.77,18.38,3.83,56.68,1.53,2.3,2.3,2.3,39.06,0,12.26,105.7,0,5.36,3.83,117.19,2.3,0,3.83,0,3.06,12.26,0,0,0.77,0,0,3.06,4.6,3.83,45.96,5.36,9.96
120,0,0,0,23.52,111.71,1.96,27.44,1.96,13.72,3.92,58.79,3.92,3.92,5.88,1.96,17.64,0,5.88,99.95,1.96,7.84,5.88,180.3,3.92,1.96,0,0,0,15.68,0,0,0,0,0,7.84,1.96,5.88,19.6,3.92,9.8
