stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,26.29,0,13.14,0,0,1338.02,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,99.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.2,0,34.62,0,3.15,1564.04,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1809.51,18.88,0,0,327.28,0,3.15,3.15,3.15,50.35,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,25,7,591,0,0,5,1,0,0,0,0,0,0,1,0,5,0,0,21,642,1,0,12,1,0,2,0,59,3,3,155,32,0,0,1,0,0
 24-34,0,0.82,0,0.82,3.28,0.82,40.22,0,0,0.82,0,0,0,0,1.64,0,0,0,0,6.57,0,0,9.03,327.52,0.82,0,0,0,0,0,0,0,0,0.82,3.28,22.98,0,0,1.64,0,0
 36-46,0,0,0,0,0,0.81,25.78,0,0,0.81,0,0,0,0,0,0,0,0,0,7.25,0,0,8.86,196.58,0,0.81,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,64.27,0,0,4.59,0,0,0.57,0,0,1.15,0,0,0.57,9.18,0,0,1.15,126.24,0.57,0,0,0,0,1.72,0,0,0,0,0,9.75,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,200.23,0,0,11.78,0,0,0,0,0,0.98,0,0,0,9.82,0,0,1.96,93.24,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0.98,2.94,2.94,359.29,0.98,0.98,48.1,0,0,0,0.98,0,0,0.98,0,0,18.65,0.98,0.98,1.96,104.06,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0,3.93,0,0,0.98,1.96,0.98
 84-94,0,0,0,0,8.5,1.06,225.15,2.12,2.12,35.05,0,0,0,0,0,0,0,0,0,8.5,0,0,2.12,80.71,0,0,0,0,0,1.06,0,0,0,0,0,4.25,0,1.06,1.06,0,0
 96-106,0,0,0,0,8.74,5.46,249.17,2.19,0,40.44,0,0,0,0,0,0,1.09,3.28,0,22.95,1.09,0,3.28,74.31,1.09,0,0,0,3.28,7.65,0,0,0,0,0,0,1.09,0,2.19,0,0
108-118,0,0,0.77,0,4.6,0,181.53,0,0,43.66,0,0,0,0,0,0,0,1.53,0,6.13,0,1.53,1.53,86.55,1.53,0.77,0.77,0,0,1.53,0,0,0.77,0,0,1.53,0.77,0.77,0.77,0,0
120,0,0,0,0,3.92,0,129.35,0,0,29.4,0,0,0,0,0,0,0,0,0,5.88,0,0,0,80.35,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
