stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,51,0,1,0,2,4,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,0.82,0,0,0,0,0,2.46,0,0.82,32.01,0,125.59,0,0,0,0.82,15.6,0,0,1.64,0.82
 36-46,0,0,3.22,0.81,0,0,0.81,0,0.81,0,0,0,2.42,0.81,0.81,23.36,0.81,71.7,0,0,0.81,0,2.42,0,0,0.81,0
 48-58,0,0,0.57,3.44,0,0.57,0,0,0,0,0,0,2.87,0,0,20.08,0,46.48,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,8.83,0,0,2.94,0,0,0,0,0.98,0.98,0,0,25.52,0,29.45,0,0,0.98,0,2.94,0,0,0,0
 72-82,0,0,0,3.93,0,0.98,2.94,0,0,0,0.98,0,0.98,0,0,20.61,0,54.97,0.98,0,0.98,0,1.96,1.96,0,0.98,0.98
 84-94,0,0,1.06,16.99,0,0,3.19,0,0,1.06,0,0,3.19,1.06,0,8.5,0,47.79,0,0,1.06,0,2.12,0,1.06,0,0
 96-106,0,0,1.09,14.21,0,1.09,0,1.09,0,0,0,0,3.28,1.09,0,14.21,0,73.22,1.09,0,0,0,1.09,0,0,2.19,0
108-118,0,0.77,0,22.21,0,0,3.83,0,0,0,0,0,2.3,0,0,8.43,0,49.02,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,13.72,0,37.24,0,0,0,0,0,0,0,0,0
