stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,18,0,0,0,0,1,1,0,2,4,0,0,0,0
 24-34,0,0,0,5.75,0,0,1.64,0,0,0.82,0,0,0,1.64,0,0,5.75,0,0,0,45.15,0,0.82,0,0,9.85,0,0,0,9.03,0,0,2.46,0
 36-46,0,0,0,1.61,0,0,4.83,0,0,1.61,0,0,0,0,0.81,0,0.81,0,0,0,21.75,0,0,0,0,4.83,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,6.31,0,0,2.87,0,0,0,0,0,0,8.03,0,0,0.57,12.62,0,0,1.15,0,0.57,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0.98,0,11.78,1.96,0,5.89,0,0,0.98,0,0,0,16.69,0,0,0.98,6.87,0,0,0,0,14.72,0,0,0,2.94,0,0,0,0
 72-82,0,0.98,0,0.98,0,0,1.96,0.98,0.98,1.96,3.93,0,0,0.98,0.98,0,16.69,1.96,0.98,0,7.85,0,0,0.98,0,13.74,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,9.56,0,0,3.19,1.06,0,4.25,2.12,1.06,1.06,3.19,0,1.06,11.68,0,0,2.12,5.31,0,0,0,0,19.12,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,10.93,1.09,0,3.28,2.19,0,2.19,1.09,0,0,1.09,1.09,0,12.02,0,1.09,1.09,10.93,0,1.09,2.19,0,24.04,0,0,0,0,2.19,0,2.19,1.09
108-118,0,0,0,16.85,0.77,0.77,0.77,7.66,0,3.83,2.3,0,1.53,0,0.77,0.77,11.49,0.77,0.77,1.53,5.36,0,0,3.06,0,15.32,0,0.77,0,0,0,0.77,0.77,0.77
120,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,13.72,0,0,0,1.96,0,0,0,0,25.48,0,1.96,0,0,0,0,1.96,0
