stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,2055.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1084.95,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,42.91,12.26,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,26.29,0,113.03,0,0,0,84.12,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,720.27,42.06,0,0,533.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,25.18,0,44.06,0,3.15,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.66,31.47,0,0,490.93,0,0,6.29,9.44,40.91,0,3.15,0,0,0,0,0,0
 14-21,0,3,0,6,112,135,0,17,0,3,0,12,4,0,5,0,0,1,1,0,0,45,0,22,217,23,4,5,5,0,3,1,157,13,4,115,136,0,0,44,0,1
 24-34,0,0,0,3.28,60.74,9.03,0,17.24,0.82,45.15,3.28,18.06,0.82,0,6.57,0.82,0,0,0.82,1.64,3.28,115.74,0.82,53.36,304.54,39.4,1.64,5.75,0,0,0.82,0,0.82,6.57,1.64,27.91,138.72,0,0,143.65,0,2.46
 36-46,0,0,0,0,9.67,1.61,0,27.39,1.61,28.2,8.86,16.92,0,0,6.45,0.81,0,2.42,1.61,2.42,1.61,192.55,6.45,61.23,206.25,21.75,0.81,5.64,0,0,0.81,0,0,5.64,0.81,0.81,85.4,0,0,99.9,0.81,3.22
 48-58,0,0,0,0,6.31,0.57,0,24.67,0.57,30.41,8.03,37.3,0.57,0,5.16,0,0,0.57,0,0,0.57,282.31,7.46,45.9,110.74,13.77,1.72,4.02,0,0,0,0,0,1.15,0,0,43.04,0,0.57,84.92,0,2.87
 60-70,0,0,0,0,2.94,0.98,0,39.26,1.96,28.46,5.89,42.21,0.98,0,2.94,4.91,0,0,0.98,0,0.98,441.68,11.78,35.33,88.34,2.94,0,6.87,0,0.98,0.98,0,0,3.93,0.98,0,14.72,0,1.96,76.56,0.98,0.98
 72-82,0,0,0.98,0,6.87,0,0,38.28,3.93,19.63,8.83,113.87,0,0,13.74,0.98,0.98,1.96,0.98,0.98,0,462.36,7.85,20.61,102.09,2.94,0.98,4.91,0,1.96,0.98,0,0,0,0,0,8.83,0,3.93,115.84,8.83,1.96
 84-94,0,0,2.12,0,16.99,1.06,1.06,40.36,3.19,47.79,4.25,67.97,5.31,0,2.12,6.37,1.06,0,0,0,1.06,348.35,9.56,16.99,86.03,3.19,1.06,4.25,0,2.12,1.06,0,0,4.25,1.06,0,3.19,2.12,5.31,111.51,4.25,1.06
 96-106,0,0,0,0,24.04,2.19,1.09,29.51,3.28,40.44,2.19,146.44,8.74,0,10.93,5.46,1.09,2.19,1.09,2.19,0,244.8,9.84,20.76,87.43,5.46,1.09,5.46,0,4.37,1.09,1.09,0,3.28,0,0,3.28,0,3.28,119.12,6.56,3.28
108-118,0.77,0,0,0,11.49,1.53,0.77,32.17,3.83,58.21,3.83,94.21,3.06,0,5.36,5.36,3.06,4.6,0,0.77,0.77,162.38,3.83,16.09,47.49,0.77,1.53,3.06,0,1.53,0.77,0,0,0.77,0.77,0,0,0.77,3.83,77.36,0.77,1.53
120,0,0,0,0,25.48,7.84,0,13.72,1.96,33.32,1.96,82.31,7.84,0,7.84,3.92,0,1.96,0,0,0,113.67,5.88,21.56,37.24,3.92,0,3.92,0,1.96,1.96,0,0,0,1.96,0,3.92,0,3.92,86.23,1.96,0
