stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,39,1,1,0,0,1,0,0,0,1,4,8,1,1,0,0,4,367,111,3,0,0
 24-34,0,0,8.21,0,0.82,7.39,0.82,0,0.82,0.82,0,0,8.21,27.91,0,0,0,2.46,0,201.93,39.4,0.82,1.64,0.82
 36-46,0,0,1.61,0,0.81,8.06,1.61,0,0,0,0,0.81,4.83,5.64,0,0.81,0.81,0.81,0,66.06,2.42,0.81,0.81,0
 48-58,0,0,0,0,1.15,2.3,0.57,0,0,0,0,2.3,1.72,2.87,0,0,0,1.72,0,8.61,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0,2.94,0,0.98,7.85,0.98,0.98,0,0,0,1.96,0,1.96,0,0.98,0.98,0
 84-94,0,0,1.06,0,2.12,2.12,0,0,3.19,0,0,7.43,4.25,0,0,0,0,4.25,0,2.12,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,6.56,0,5.46,0,1.09,16.39,3.28,4.37,0,0,0,1.09,0,0,0,0,2.19,0
108-118,0,0,2.3,0,0,0,3.06,0,9.19,0,0,18.38,3.83,3.06,0,0,0,1.53,0,2.3,0,0,0.77,0
120,0,0,1.96,0,0,0,1.96,0,5.88,0,0,13.72,0,3.92,0,0,0,0,0,0,0,0,0,0
