stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,43,78,0,1,0,0,1,5,0,6,27,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,4.93,0,198.65,51.71,0,2.46,0,0.82,0,0,0,0.82,76.34,0.82,0,0
 36-46,0,0,0,0,0,12.89,0,0,0,0.81,0,0,0,0,0,1.61,0,244.12,41.09,3.22,2.42,0,0,0,0,0,0,78.15,0,0,0
 48-58,0,0,0,0.57,0,25.82,0,0.57,0.57,1.15,0,0,0,0,0,7.46,0,241,14.35,1.15,6.89,0,0,0,0,0.57,0,57.95,0,0,0
 60-70,0,0.98,0,0.98,0,69.69,0,0,0,4.91,0,0,0,0.98,0,5.89,0.98,360.22,3.93,0,5.89,0,0,0,0,0,0,44.17,0,0,0
 72-82,0,0.98,0,1.96,0.98,95.22,0,0,0.98,4.91,0,0,0,0,0,7.85,0.98,267.99,0.98,0,5.89,1.96,0,0,0,0,0,27.49,0,0,0
 84-94,0,0,0,1.06,0,109.39,0,0,0,3.19,0,0,0,1.06,0,12.74,0,168.86,4.25,1.06,10.62,0,0,0,0,0,0,13.81,0,1.06,0
 96-106,0,1.09,0,2.19,0,111.47,1.09,0,0,4.37,0,0,1.09,0,1.09,15.3,1.09,121.31,1.09,2.19,20.76,0,1.09,0,0,0,0,6.56,1.09,1.09,0
108-118,0,0.77,0,3.06,0.77,137.87,0,0,0,5.36,0,0.77,0,0,0,8.43,0,134.04,5.36,0,6.89,0,0,0,0,0,0,3.06,0.77,0,0.77
120,0,0,0,1.96,0,56.83,0,0,0,1.96,0,0,0,0,0,7.84,0,137.18,0,0,13.72,0,0,0,0,0,0,7.84,0,0,0
