stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,43,0,0,6,0,0,0,2,1,0,1,0,2,0,0,0,0,4,1,0,2,106,3,2,5,0,99,1,2,0,6,40,0,0,0,0,0
 24-34,0.82,3.28,13.95,0,0,14.78,0,0,0,1.64,0.82,0,0.82,0,10.67,0,0.82,0.82,0,18.06,1.64,0,6.57,278.27,2.46,17.24,4.93,0,261.03,0,4.1,0,1.64,100.14,0,0,4.1,0,0.82
 36-46,0,0,11.28,0,0,41.09,0,2.42,0,11.28,2.42,0,0.81,0,0.81,0.81,0.81,0,1.61,16.11,0.81,0,4.03,301.32,3.22,14.5,2.42,0,188.53,0,0.81,0.81,0,81.37,0,0,5.64,0,2.42
 48-58,0,0,10.9,0,0,82.63,0,1.72,2.3,28.69,0.57,0,0.57,0,1.15,0.57,1.72,0,0,36.72,0.57,1.72,6.89,271.41,1.72,16.64,4.02,0,122.79,0,0.57,0,0,59.1,0,0,7.46,0,1.15
 60-70,0.98,0,19.63,0,0,104.04,0.98,6.87,1.96,39.26,4.91,0,0.98,4.91,0.98,0,2.94,1.96,0,39.26,0.98,1.96,5.89,302.31,1.96,8.83,0.98,0.98,103.06,0,1.96,0,0,47.11,0,0.98,3.93,0,0
 72-82,1.96,0,35.34,2.94,0.98,143.32,0,4.91,0.98,57.92,8.83,0.98,0.98,3.93,5.89,0,8.83,1.96,0,70.68,0,6.87,3.93,297.44,0.98,13.74,7.85,0.98,121.73,0,0.98,0,0,21.6,5.89,0.98,5.89,1.96,0.98
 84-94,3.19,0,38.23,0,0,87.09,0,10.62,1.06,35.05,13.81,1.06,1.06,8.5,9.56,4.25,5.31,2.12,2.12,38.23,2.12,6.37,1.06,133.82,0,14.87,5.31,0,297.37,0,0,0,0,20.18,10.62,0,12.74,1.06,0
 96-106,0,0,87.43,2.19,0,101.63,0,6.56,0,36.06,26.23,0,3.28,6.56,9.84,1.09,6.56,5.46,0,55.74,3.28,3.28,4.37,144.26,1.09,29.51,3.28,1.09,322.39,0,1.09,1.09,0,6.56,15.3,2.19,7.65,0,2.19
108-118,0.77,0,67.4,0,0,54.38,0,10.72,3.06,30.64,22.98,0,0.77,5.36,13.02,1.53,3.83,3.83,1.53,39.06,4.6,2.3,6.89,146.3,0,12.26,3.83,0,235.15,0,0,0.77,0,6.13,35.23,0,6.13,1.53,1.53
120,1.96,0,58.79,5.88,0,58.79,0,5.88,1.96,41.16,23.52,0,0,7.84,15.68,0,5.88,0,0,29.4,1.96,1.96,0,148.94,1.96,17.64,7.84,1.96,256.73,0,0,0,0,7.84,11.76,0,7.84,0,1.96
