stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0
 24-34,0,0,0,0.82,2.46,0.82,0.82,0.82,0,1.64,3.28,0,0,1.64,0.82,1.64,1.64,0,0,0
 36-46,0,0,0,0.81,10.47,0,0,0,0,1.61,2.42,0,0,0,3.22,0,1.61,0,0.81,0
 48-58,0,0.57,0,3.44,17.21,1.15,0,4.59,0,1.15,5.74,0,0,0.57,4.02,0,5.16,0,0,0.57
 60-70,0,0.98,0,2.94,14.72,0,0,1.96,0,0.98,3.93,0,0,0.98,1.96,0,0.98,0,0,0.98
 72-82,0,0,0,2.94,4.91,0,0,1.96,0.98,0,3.93,0,0,0,0.98,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,1.06,0,2.12,0,1.06,6.37,0,0,2.12,3.19,0,2.12,0,0,0
 96-106,0,1.09,1.09,0,1.09,1.09,0,0,0,0,0,1.09,0,2.19,0,0,0,0,1.09,0
108-118,0,0.77,0,0,3.06,0,0,1.53,0,2.3,1.53,0.77,0,0.77,3.06,0,0,0.77,0,0
120,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
