stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature
  3-4,65.89,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,3.15,0,6.29,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,3,0,0,0,0,7,0,0,0,1,2,0,0,1,3,0
 24-34,0,0,0,0,0.82,0,0,0,0,4.1,0,0,0,0.82,4.1,0,2.46,0.82,0,4.93,0,0,0,4.1,0
 36-46,0,0,0,0,1.61,0.81,0,0.81,0,0.81,0.81,0,0,0,11.28,0,0,0,0,7.25,0,0,0,3.22,0
 48-58,0,0,0,0,1.15,1.72,0,1.15,0,0,1.72,0,0.57,0.57,7.46,0.57,0,0.57,0,1.72,0,0,0,1.72,0
 60-70,0,0,0,0,7.85,0,0,5.89,0,0,2.94,0,0,0,31.41,0,0,0,0,7.85,0,0,0,0,0.98
 72-82,0,0,0,0,8.83,0.98,0,3.93,0,0,4.91,0,0,0,13.74,0,0,0,0,5.89,0,0,0,0,0
 84-94,0,0,1.06,0,9.56,1.06,0,4.25,1.06,0,5.31,0,0,0,12.74,0,1.06,0,0,12.74,0,1.06,0,0,0
 96-106,0,0,0,1.09,13.11,3.28,0,0,0,0,0,1.09,0,0,8.74,0,2.19,0,0,9.84,0,0,0,0,0
108-118,0,0,0,2.3,2.3,3.83,0,3.06,0,0,0.77,0,0,0,9.96,0,0,0,0,14.55,0,0,0,0.77,0
120,0,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,9.8,0,0,0,0,11.76,0,0,0,0,0
