stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0
 24-34,0,0,0,0,0,1.64,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,2.3,0,0,1.72,0,0,0
 60-70,0,0,5.89,0,0,1.96,0,0,0
 72-82,0,0,3.93,0.98,0.98,0.98,0,0,0.98
 84-94,0,0,5.31,0,0,9.56,0,0,0
 96-106,0,0,3.28,0,0,7.65,0,0,0
108-118,0,0.77,1.53,1.53,0,7.66,0,0,0.77
120,0,0,0,1.96,1.96,11.76,0,0,0
