stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,2,8,0,0,0,0,2,4,0,6,2,0,0,0,0,0
 24-34,0,0,11.49,0.82,0,1.64,0,0.82,0.82,0,0,0,0,0,0,0,8.21,0,0,5.75,16.42,12.31,1.64,0,0,0,8.21,0,1.64,0,6.57,0,0,0.82,0,0
 36-46,0,0,10.47,0,0,1.61,0,3.22,2.42,0,0,0,0.81,0,0,0.81,12.09,1.61,0,4.83,24.17,11.28,0,0.81,0,0,4.03,0,0,0,5.64,0,0,0.81,0,0.81
 48-58,0,0,1.15,0,0,3.44,0,1.15,5.74,1.72,0,0,0.57,0,0.57,0.57,16.07,1.15,0.57,0,17.79,2.3,0,2.3,0,0,4.59,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,2.94,0,0,8.83,0,0.98,5.89,0.98,0,1.96,0,0,0,0,23.56,0.98,0,0.98,24.54,0.98,0,1.96,0,0,1.96,0,0,0,1.96,0.98,0.98,0,0,0
 72-82,0,0,2.94,0,0,17.67,0,0,3.93,4.91,0.98,0.98,0,0,0.98,0,52.03,1.96,0,0.98,41.23,3.93,1.96,2.94,0,0,8.83,0,0,0,6.87,0.98,0.98,0.98,1.96,0
 84-94,0,0,9.56,0,0,21.24,0,1.06,5.31,3.19,1.06,0,0,0,2.12,0,69.03,1.06,0,5.31,28.68,3.19,1.06,1.06,0,0,12.74,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,1.09,0,0,18.58,1.09,0,4.37,3.28,4.37,0,2.19,1.09,0,0,30.6,1.09,0,2.19,30.6,1.09,2.19,1.09,0,0,6.56,0,0,0,1.09,1.09,1.09,0,1.09,0
108-118,0,0.77,3.83,0.77,1.53,16.85,0,1.53,4.6,4.6,1.53,0.77,0,0,3.06,0,34.47,0.77,0.77,3.06,31.4,3.83,1.53,3.06,0,0,2.3,0,0,0,7.66,2.3,0,0.77,0,0
120,0,0,1.96,0,0,9.8,0,0,0,1.96,0,0,0,0,5.88,0,21.56,0,0,1.96,27.44,1.96,0,1.96,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
