stage,epidermis,erythrocytes,eye,glial,heart,melanocytes,mesenchyme,neural,periderm,pronephros,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0.82,0,0,0,4.1,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,11.28,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,4.59,0,0,0.57,0
 60-70,0,0,0.98,0.98,0,0.98,0,4.91,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,4.91,0,0,0,0.98
 84-94,0,0,1.06,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,2.19,0,0,0,0,1.09,0,0,0,0
108-118,0.77,0,0.77,0,0,0,0,0,0,0,0,0
120,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0
