stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,2,1,0,1,4,4,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,120.67,0,11.49,0.82,0,0,0.82,0,0,0,0.82,0,23.8,0,2.46,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,0.81,341.6,0,12.09,0,0,0,0,0,0,0,2.42,0,70.9,0,0,0,0.81
 48-58,0,0,0,2.3,0.57,0,56.23,1.15,0.57,1.15,4.02,0,0,0.57,0,0,0,1.15,0.57,7.46,0.57,0,0.57,649.55,0,4.02,1.15,0,0,0.57,0,0,0.57,1.72,0,74.02,0,0,0,0
 60-70,0,0,0.98,2.94,0,0,195.32,0,1.96,0,7.85,0,0,0,0,0,0.98,0.98,0,8.83,0,0,0,1329.96,0,10.8,1.96,0,0,0,0,0,0,1.96,0,160.97,0.98,0.98,0.98,0.98
 72-82,0,0,0.98,5.89,1.96,0,264.07,0.98,0.98,0,30.43,2.94,0,0,2.94,0.98,1.96,0,0.98,31.41,0.98,0.98,1.96,1364.51,0.98,8.83,1.96,0,0,0,0,0,0.98,0,0,159.03,0.98,2.94,0,0
 84-94,0,0,1.06,12.74,4.25,0,210.28,0,0,1.06,25.49,1.06,0,0,1.06,1.06,1.06,0,1.06,16.99,0,0,1.06,707.32,0,13.81,10.62,0,0,4.25,0,0,1.06,2.12,0,87.09,0,1.06,0,2.12
 96-106,0,0,2.19,10.93,3.28,1.09,178.13,1.09,1.09,0,32.79,0,0,1.09,1.09,2.19,1.09,0,1.09,26.23,0,0,5.46,611.99,1.09,9.84,8.74,0,0,3.28,0,0,0,2.19,0,51.36,1.09,5.46,1.09,1.09
108-118,0,0,0,9.19,2.3,3.83,138.64,1.53,1.53,0.77,17.62,1.53,0,0,1.53,1.53,0.77,1.53,0,16.09,0.77,0,2.3,813.45,0,8.43,6.13,0,0.77,2.3,0,0,0.77,1.53,0,30.64,0,0.77,0.77,0
120,0,0,0,15.68,3.92,0,148.94,0,0,0,19.6,0,0,0,1.96,0,0,1.96,0,17.64,0,0,3.92,844.67,0,5.88,1.96,0,0,0,0,0,1.96,1.96,0,35.28,0,0,1.96,0
