stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,84.12,2.63,0,31.54,5.26,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,53.5,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,3,24,0,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,21.34,0,0,0,0,0,0,0,0,0.82,0,7.39,10.67,0,0,0,0,0,0,0,0.82,16.42,4.1,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,19.34,0,0,0.81,0,0,0,0,0,0,0,3.22,4.83,0,0,0,0.81,0,0,0,1.61,4.03,1.61,0,0,0,0
 48-58,0,0,0,0,0,1.72,16.07,0,0,1.15,0,0,0,0,0,4.02,0.57,3.44,9.75,0,0,0,0.57,0,0,0,0.57,0,4.59,0,0,0,0
 60-70,0,0,0,0,0,3.93,9.82,0,0,0.98,0,0,0,0,0,1.96,0,4.91,3.93,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,4.91,5.89,0.98,0,2.94,0.98,0,0.98,0,0,5.89,0,3.93,8.83,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,2.12,7.43,0,0,0,0,0,3.19,0,0,4.25,0,5.31,8.5,0,0,0,3.19,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,2.19,6.56,0,0,4.37,1.09,0,2.19,1.09,0,9.84,0,1.09,2.19,0,1.09,1.09,3.28,0,0,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0,2.3,9.19,0,0.77,0,0,0,0.77,0,0.77,7.66,0,4.6,3.83,0.77,0,0,1.53,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,7.84,0,0,0,0,0,1.96,0,0,0,0,7.84,3.92,0,0,0,9.8,0,1.96,0,0,0,0,0,0,0,0
