stage,blastomeres,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,0
 24-34,0,0,0.82,0,0,0,0,5.75,0,0,0,3.28,0,0,0,3.28,0
 36-46,0,0,0.81,1.61,0,0,0,3.22,0,0,3.22,4.83,0,0.81,0,4.03,0
 48-58,0,1.15,1.15,2.87,0,0,0,3.44,0.57,0,1.72,1.72,0,0,0,0.57,0
 60-70,0,0,3.93,5.89,0,0,0,8.83,0,0,0,2.94,0,0,0,1.96,0.98
 72-82,0,0,7.85,0.98,0,0.98,0.98,9.82,0.98,0,0.98,1.96,0,0,0,1.96,0.98
 84-94,0,0,2.12,3.19,1.06,0,0,1.06,0,1.06,0,3.19,2.12,2.12,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,1.53,0.77,0,0,0,0.77,0.77,0,0.77,1.53,0,0,0,0,0.77
120,0,0,1.96,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,1.96,0
