stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,5.75,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,1.15,2.3,0,0,0,0,0.57,0,0.57,0.57,0,0,0.57,4.59,0,0,0,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,3.19,0,0,0,1.06,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
