stage,epidermis,erythrocytes,eye,glial,heart,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 14-21,1,0,2,1,1,0,0,0,18,1,0,1,0,4,7,9,0
 24-34,0,0,3.28,0,0,0,0,0.82,13.95,0,0,0,0,0,0,4.93,0
 36-46,0,0,0.81,0,0,0,0,0,22.56,0,0,0,0,0,0,5.64,0
 48-58,0,0,1.72,1.15,0,0,0.57,0,8.61,0,0,0,0,0,0,2.3,0
 60-70,0,0,4.91,0.98,0,0,0,0,11.78,0,0,0,0.98,0,0,0.98,0
 72-82,0,0.98,3.93,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0,0,3.83,0,0.77,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
