stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,2,2,8,0,0,0,3,0,0,0,0,0,2,1,72,0,0,4,1,1,3,2,33,0,0
 24-34,0,0,0,0,0.82,0.82,9.85,0,0,0,2.46,0,0,0,0,0,4.93,0,103.43,0.82,0.82,2.46,0,0.82,0,0,29.55,4.1,0
 36-46,0,0,0,0,0.81,0,8.86,0,0,0.81,16.11,0,0,0,0,0,6.45,0,82.18,1.61,0,0.81,0,0,0,0,26.59,1.61,0
 48-58,0,0,0,0,0,0,6.31,0,0,0.57,33.28,0,0,0,0,0,9.75,1.15,43.61,0.57,0.57,0.57,0,0,0,0,18.94,2.87,0
 60-70,0,0,0,0,0,0,3.93,0.98,0,0.98,18.65,0,0.98,0,0,0,9.82,1.96,20.61,0.98,0.98,0.98,0,0,0,0,5.89,0.98,0
 72-82,0,0,0.98,0,1.96,0,9.82,0,0,0.98,50.06,0,0.98,0,0.98,0,27.49,0.98,22.58,0,0.98,0,0,0,0,0,6.87,3.93,0
 84-94,0,0,1.06,1.06,2.12,0,9.56,0,0,0,24.43,2.12,0,0,0,0,10.62,2.12,22.3,0,1.06,1.06,0,3.19,0,0,2.12,3.19,0
 96-106,0,0,0,0,1.09,1.09,4.37,0,1.09,1.09,41.53,1.09,1.09,1.09,1.09,0,12.02,3.28,16.39,1.09,0,1.09,0,2.19,0,0,1.09,1.09,0
108-118,0,0,0,0,3.06,0,5.36,0,0,1.53,31.4,0,0.77,0.77,0.77,0.77,13.02,0.77,20.68,0,0.77,0.77,0,0,0,0,2.3,2.3,0.77
120,1.96,0,0,0,1.96,0,1.96,0,0,0,33.32,0,0,0,0,0,5.88,3.92,19.6,1.96,1.96,1.96,0,0,0,0,3.92,5.88,0
