stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,15,1,11,0,0,0,5,0,0,0,1,0,0,1,9,0,0,16,152,2,1,0,1,0,1,18,18,51,0,0,1,0,0
 24-34,0,7.39,0.82,31.19,0,0.82,0.82,3.28,0.82,0,0,0,0,0,0,32.83,0,0,15.6,170.74,0,0.82,1.64,0,0,6.57,0,0.82,33.66,0,0,5.75,0,0
 36-46,0,1.61,0,40.28,0,0.81,0,4.03,0.81,0,0,0,0,0,0,20.14,0,3.22,7.25,95.07,0,0,0,0,0,3.22,0,0,19.34,0,0,4.83,0,0
 48-58,0,2.87,0,30.99,0,0,0.57,9.75,0,0,0.57,0,0.57,0,0,29.26,0,3.44,8.03,52.79,0,0,0,0,0,0.57,0,0,8.61,0,0,1.15,0,0
 60-70,0,7.85,0,21.59,0,1.96,0.98,3.93,0,0,0.98,0,0.98,0,0,24.54,0.98,0.98,4.91,30.43,0.98,0.98,0.98,0,0,1.96,0,0,1.96,0,0,0.98,0,0
 72-82,0,2.94,0,21.6,0,0.98,3.93,24.54,0,0.98,0,0,0,0.98,0,46.14,0,2.94,10.8,41.23,0,0,1.96,0,0,0.98,0,0,3.93,0.98,0.98,5.89,1.96,0.98
 84-94,0,2.12,0,16.99,0,0,2.12,9.56,0,0,1.06,0,0,0,0,20.18,0,1.06,6.37,21.24,1.06,0,0,0,0,3.19,0,0,3.19,0,2.12,2.12,2.12,0
 96-106,0,3.28,0,12.02,1.09,0,1.09,15.3,0,0,1.09,0,2.19,0,0,28.41,2.19,1.09,5.46,21.86,0,1.09,1.09,0,0,1.09,0,0,4.37,0,1.09,3.28,3.28,0
108-118,0,6.13,1.53,10.72,0,3.83,0.77,9.19,0,0,1.53,0,0,0,0.77,24.51,0,1.53,6.13,21.45,0,0,1.53,0,0.77,5.36,0,0,1.53,0,0,1.53,0.77,0
120,0,9.8,3.92,9.8,0,0,0,11.76,0,1.96,0,0,0,0,0,19.6,1.96,1.96,9.8,19.6,0,1.96,0,0,0,1.96,0,0,3.92,0,0,1.96,0,0
