stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,25.18,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,2,0,13,0,0,0,0,2,0,0,0,0,0,0,1,13,0,0,9,155,3,0,2,0,0,2,0,4,2,0,7,23,0,0,6,0,0
 24-34,0,0,1.64,1.64,28.73,1.64,0,36.12,0,6.57,0.82,17.24,3.28,4.1,0,0,1.64,0,0.82,5.75,58.28,0.82,0.82,33.66,1428.29,15.6,3.28,9.03,0,0,5.75,0,0,11.49,0.82,1.64,284.84,0,0,49.25,0,0
 36-46,0,0,1.61,0,13.7,0,0,41.09,0,2.42,0,103.93,0.81,4.03,0,0,1.61,2.42,0.81,4.83,110.38,0.81,2.42,12.89,1434.9,9.67,0.81,5.64,0,0,2.42,0,0,1.61,0,0,499.51,0,0,25.78,0,4.03
 48-58,0.57,0.57,0.57,0,13.2,0.57,0,56.81,0,4.59,1.72,170.42,2.3,4.02,0,0.57,1.72,1.15,1.72,5.16,165.26,0.57,1.72,16.64,706.93,10.9,1.15,7.46,0,1.72,0.57,0,0,2.3,2.3,0,328.79,0,0.57,28.12,0,10.33
 60-70,0,0,0,0,26.5,0,0,60.85,1.96,7.85,3.93,127.6,5.89,3.93,0,0,9.82,0.98,0.98,1.96,232.62,0.98,4.91,26.5,401.44,10.8,0.98,9.82,0,1.96,1.96,0,0,2.94,2.94,0,135.45,0,3.93,13.74,2.94,9.82
 72-82,0,0,0.98,0,38.28,2.94,0,82.46,1.96,9.82,5.89,200.26,13.74,4.91,0.98,0.98,11.78,2.94,0.98,6.87,361.25,0.98,8.83,21.6,376.96,0.98,1.96,21.6,0,1.96,2.94,0,0,3.93,1.96,0,67.73,0,12.76,35.34,18.65,12.76
 84-94,0,0,3.19,1.06,95.58,3.19,0,121.07,1.06,26.55,6.37,142.31,28.68,4.25,0,1.06,16.99,1.06,3.19,12.74,212.41,1.06,9.56,20.18,199.66,8.5,0,14.87,0,2.12,4.25,0,0,5.31,1.06,0,50.98,3.19,5.31,38.23,12.74,19.12
 96-106,0,0,2.19,0,69.94,1.09,1.09,89.61,1.09,24.04,6.56,157.37,27.32,3.28,3.28,0,24.04,2.19,0,10.93,243.7,1.09,9.84,9.84,194.53,5.46,1.09,18.58,0,2.19,8.74,1.09,0,3.28,3.28,0,32.79,2.19,12.02,34.97,15.3,16.39
108-118,0,0,1.53,2.3,106.47,0,0,84.26,3.06,38.3,3.06,153.19,22.21,1.53,2.3,1.53,31.4,1.53,0,12.26,182.3,0,4.6,17.62,248.17,3.83,0,26.81,0,2.3,7.66,0,0,3.06,0.77,0,24.51,1.53,6.89,26.04,9.96,16.09
120,0,0,0,0,119.55,0,1.96,56.83,7.84,45.08,5.88,121.51,13.72,1.96,7.84,0,19.6,0,0,5.88,195.98,3.92,1.96,11.76,274.37,5.88,0,21.56,0,1.96,3.92,0,0,5.88,1.96,0,19.6,1.96,5.88,33.32,19.6,3.92
