stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,7,0,0,0,0,0,1,0,2,0,0,0,0,9,0,0,6,18,0,0,0,0,0,0,1,7,2,2,7,0,0,0,0,0
 24-34,0,0,2.46,0.82,1.64,0,9.85,0,0,0,1.64,0.82,3.28,5.75,1.64,0,0,1.64,0.82,6.57,1.64,0,2.46,13.13,0,0,0,0,0,0,0,36.94,4.1,0.82,7.39,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,0,0,6.45,2.42,0,0.81,2.42,0.81,0.81,1.61,2.42,0,0,0.81,3.22,9.67,2.42,0,3.22,8.06,0,0.81,0.81,0,0,0,0,20.14,8.06,0,2.42,0,0,0,0,1.61
 48-58,0,0,0.57,0,1.15,0.57,6.31,2.87,0,2.3,3.44,0,0.57,4.02,2.3,1.72,0,0,4.59,7.46,3.44,0.57,1.72,10.9,0,0,0,0,0.57,1.15,0,12.62,5.16,0,1.72,0,0.57,0.57,0,4.02
 60-70,0,0,0.98,0,0.98,0,15.7,6.87,0,2.94,14.72,0,0,5.89,0.98,5.89,0.98,0,2.94,16.69,5.89,1.96,0.98,10.8,0,0,0,0,0,1.96,0,14.72,12.76,0,0,0,0,0.98,0.98,2.94
 72-82,0,0,3.93,0.98,1.96,0.98,23.56,3.93,0,2.94,51.05,16.69,0.98,6.87,3.93,4.91,0,0.98,2.94,20.61,3.93,0,1.96,24.54,0,0,1.96,0,0,4.91,0,22.58,1.96,0,0,0.98,0.98,0.98,0.98,5.89
 84-94,0,0,0,1.06,2.12,1.06,46.73,4.25,0,0,25.49,31.86,0,11.68,5.31,14.87,0,1.06,9.56,19.12,2.12,0,2.12,14.87,0,0,4.25,0,0,2.12,0,47.79,6.37,0,0,0,0,1.06,0,5.31
 96-106,0,0,0,0,9.84,2.19,39.34,6.56,1.09,4.37,28.41,44.81,0,18.58,10.93,10.93,1.09,0,6.56,18.58,5.46,0,5.46,10.93,0,1.09,5.46,1.09,0,6.56,0,44.81,2.19,0,1.09,0,1.09,2.19,1.09,5.46
108-118,0,0,0.77,0.77,3.83,0.77,52.85,7.66,0,1.53,22.98,34.47,0.77,10.72,15.32,28.34,1.53,2.3,4.6,14.55,2.3,0.77,6.89,10.72,0,0.77,6.13,0,0,1.53,0,32.94,10.72,0,0,0.77,0.77,0,0.77,7.66
120,0,0,0,0,13.72,1.96,25.48,11.76,1.96,1.96,35.28,45.08,1.96,33.32,15.68,9.8,0,3.92,5.88,11.76,3.92,0,0,13.72,1.96,0,5.88,0,0,3.92,0,27.44,3.92,0,0,0,0,1.96,1.96,5.88
