stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,7.89,0,0,0,55.2,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,297.04,7.89,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,31.47,0,6.29,0,47.2,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,512.96,37.76,0,0,226.58,0,3.15,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,7,66,2,0,1,1,0,13,0,0,11,19,0,0,1,0,0
 24-34,0,0,0,2.46,0,0,27.91,0,0,0,0,0,0,0.82,0,0,0,0,0,9.03,0,0,2.46,109.99,0.82,1.64,0.82,0,2.46,0,0.82,0,1.64,16.42,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,0,2.42,0,0,0,0,0,0,0,1.61,8.86,0,0,1.61,58.01,0.81,1.61,0,0,0,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,10.9,1.15,0,0,3.44,1.72,0,0,0.57,0,0,0,0,8.03,0.57,0,2.3,29.26,0.57,1.72,0,0,0,0,0,0.57,0.57,5.16,0,0,0,0,0
 60-70,0,0,0,0.98,1.96,0,7.85,0.98,0.98,0,3.93,0.98,0,0,0,0.98,0,0.98,2.94,3.93,0,0.98,0.98,29.45,0,2.94,0.98,0,0,0,0.98,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,2.94,7.85,0,26.5,0,0,0.98,10.8,0,0,0,0.98,0,0,0,0,11.78,0,1.96,4.91,28.47,0.98,4.91,0,0,2.94,0,0,0,0,1.96,0,0,3.93,0,0
 84-94,0,0,0,5.31,2.12,1.06,13.81,1.06,2.12,1.06,1.06,3.19,0,1.06,0,0,0,0,2.12,13.81,0,0,0,19.12,0,2.12,2.12,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,4.37,0,13.11,0,0,1.09,6.56,1.09,0,0,1.09,0,0,1.09,0,7.65,0,0,3.28,10.93,0,4.37,0,0,1.09,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,1.53,5.36,0.77,15.32,0,0.77,1.53,8.43,1.53,0,0,0.77,1.53,0,0.77,2.3,7.66,0,0,6.13,21.45,0,5.36,2.3,0,1.53,0,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,7.84,11.76,0,17.64,0,0,1.96,17.64,3.92,0,1.96,0,0,1.96,3.92,0,9.8,0,0,7.84,52.91,0,5.88,5.88,0,3.92,0,1.96,0,0,0,1.96,0,5.88,0,0
