stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,2029.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,55.17,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,22.03,3.15,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,2,26,3,0,0,1,13,4,0,4,7,9,0,0,0,1
 24-34,0,0,0,0,0.82,0,10.67,0,0.82,0,0,0,0,0,0,12.31,0,0,5.75,1.64,2.46,0,0,1.64,146.11,0,1.64,0.82,0,63.21,0,0.82,0.82,4.1,28.73,0,2.46,0,1.64
 36-46,0,0,0,0,0.81,0.81,34.64,3.22,0,0,7.25,0,0,0,0,4.83,0,0,1.61,0,2.42,0,0,4.03,359.33,0,6.45,0,0,45.12,0,0,4.03,0,76.54,0,0,0,5.64
 48-58,0,0,0,0,2.87,0,86.07,2.87,1.15,0.57,25.25,0,0,0.57,0,3.44,0,0.57,1.15,2.3,3.44,0,0,2.87,413.14,0,1.72,0.57,0,28.12,0,0,1.72,0,76.32,0,0,0,8.61
 60-70,0,0,0,0,2.94,0,149.19,1.96,0,0.98,13.74,0,0,0,0.98,0.98,0,0,0,0.98,7.85,0,0,0.98,529.04,0,0,0.98,0,34.35,0,0,2.94,0,58.89,0,0,0,11.78
 72-82,0,0,0.98,0,2.94,1.96,180.63,0.98,1.96,0,42.21,0,0,0,0.98,3.93,0,0,0,0.98,10.8,1.96,0,2.94,477.09,0,1.96,1.96,0,25.52,0,0,2.94,0,37.3,0,0.98,0,5.89
 84-94,0,0,0,0,3.19,3.19,115.76,1.06,2.12,0,33.99,0,0,0,0,3.19,2.12,1.06,0,1.06,8.5,1.06,1.06,2.12,216.66,0,1.06,0,0,123.2,0,1.06,7.43,0,22.3,0,1.06,0,6.37
 96-106,0,0,1.09,0,8.74,1.09,83.06,1.09,2.19,1.09,20.76,4.37,0,1.09,0,5.46,1.09,0,3.28,0,8.74,1.09,0,1.09,185.78,0,1.09,2.19,0,98.36,0,0,5.46,0,15.3,0,0,0,3.28
108-118,0,0,0.77,0,9.96,3.06,65.11,3.06,3.06,1.53,23.74,0.77,0,0.77,0,4.6,0,1.53,6.13,0,8.43,0.77,0,3.83,202.21,0.77,1.53,0.77,0,79.66,0,0.77,6.13,0,4.6,0,0,1.53,6.89
120,0,0,0,0,13.72,0,58.79,0,5.88,0,33.32,11.76,0,0,0,3.92,0,0,7.84,0,11.76,3.92,1.96,3.92,182.26,1.96,3.92,1.96,0,72.51,1.96,0,5.88,0,0,1.96,3.92,0,3.92
