stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,4,0,0,0,0,0,0,0,7,1,0,0,0,0,0,11,1,0,11,48,2,0,0,0,0,0,6,6,8,8,4,0,0,0,0
 24-34,0,0,0,3.28,0,0,2.46,1.64,0,0,0.82,0,0,1.64,0,0,0,0,0.82,20.52,0,0,9.85,40.22,0,0,0,0,1.64,0,0,6.57,3.28,2.46,4.93,0,0,13.13,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0.81,0.81,0,0,0,0,16.92,0,0,3.22,26.59,0,0,0.81,0,1.61,0.81,0,1.61,1.61,0,0,0,0,10.47,0
 48-58,0,0,0,0,0,0,5.16,5.74,0,0.57,3.44,0,0,0,0,0,1.15,0,0,6.89,0.57,0,2.87,16.07,0,0.57,1.72,0,0.57,0,0,1.15,0.57,0,1.72,0,0,8.03,0
 60-70,0,0,0,0.98,0,0,4.91,8.83,0.98,2.94,4.91,0,0,0,0,0.98,2.94,0,0,15.7,0,0.98,0.98,15.7,0.98,0,0.98,0,0,0,0,0,0.98,0,3.93,0,0,4.91,0
 72-82,0,0,0,0,0,0,10.8,3.93,0.98,2.94,4.91,0.98,0,0,2.94,3.93,0,0,0,11.78,0,0,0.98,22.58,0,0,0,0,0,0,0,2.94,0.98,0,1.96,0,0,3.93,0
 84-94,0,0,0,3.19,0,1.06,5.31,3.19,0,3.19,3.19,0,0,0,0,5.31,1.06,0,0,9.56,1.06,0,1.06,11.68,0,0,2.12,0,0,0,0,5.31,0,0,0,0,0,5.31,1.06
 96-106,0,0,0,1.09,0,1.09,6.56,3.28,1.09,2.19,1.09,0,0,0,0,8.74,3.28,1.09,0,10.93,0,2.19,0,15.3,1.09,1.09,3.28,0,0,0,0,3.28,2.19,0,1.09,1.09,0,6.56,0
108-118,0,0,1.53,2.3,0,3.06,6.13,5.36,0,0.77,0.77,0,0,0,0.77,4.6,0.77,0.77,0,4.6,0,0.77,2.3,12.26,0,0.77,3.83,0,0.77,0,0,0.77,0.77,0,0,0,0.77,7.66,0
120,0,0,0,1.96,0,0,9.8,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,21.56,0,0,5.88,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0
