stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,16,4,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,4,48,1,0,0,1,0,2,7,0,8,13,0,0,0,0,0
 24-34,0,4.93,0,0,32.83,0,0,0,1.64,0,0,0.82,0,0,0.82,0,1.64,0,12.31,0,0,6.57,173.2,0.82,0,1.64,0,0,8.21,0,0,2.46,43.51,0,0,0,0,0
 36-46,0,4.03,1.61,0,47.53,0,0,0,1.61,0,0,1.61,0,0.81,0,0,0,0,11.28,0,0,1.61,123.27,0.81,0,0.81,0,0,1.61,0,0,0,16.92,0,0,1.61,0,0
 48-58,0.57,1.72,1.72,0,52.22,0,0,0,5.74,0,0,0,0,0,0,0,0,0.57,11.48,0.57,0,0,115.91,0,0,0.57,0,0,0,0,0,0,15.49,0,0,0,0,0
 60-70,0,4.91,0,0,79.5,0,1.96,0.98,8.83,0,0,0,0,0,0.98,0,0,0,31.41,0,0,1.96,95.21,0,0.98,0.98,0,0,3.93,0,0,0,11.78,0.98,0,0.98,0,0
 72-82,0,1.96,0.98,0,29.45,0,0,3.93,3.93,0.98,0,0,0.98,0,0.98,0,0,0,16.69,0,0.98,0.98,59.88,0,0.98,0.98,0,0,3.93,0,0,0,0.98,0.98,1.96,0.98,1.96,0
 84-94,0,1.06,0,0,24.43,0,0,0,6.37,3.19,0,0,2.12,0,0,1.06,0,0,13.81,1.06,1.06,3.19,36.11,1.06,0,1.06,0,0,7.43,0,1.06,0,2.12,1.06,0,2.12,1.06,0
 96-106,0,3.28,1.09,0,15.3,1.09,0,1.09,4.37,4.37,0,0,2.19,0,0,0,0,0,12.02,2.19,0,1.09,22.95,0,0,4.37,0,1.09,8.74,0,1.09,0,1.09,0,0,0,0,1.09
108-118,0.77,3.83,3.06,0.77,13.02,0,0.77,0,5.36,0,0,0,2.3,0.77,1.53,0,0.77,0,9.19,0.77,1.53,3.06,33.7,0,0.77,0,0,0,8.43,0,0,0,0.77,0.77,0,1.53,1.53,0
120,0,3.92,3.92,0,27.44,0,1.96,0,1.96,5.88,0,0,0,1.96,0,0,0,0,19.6,0,0,5.88,25.48,1.96,0,5.88,0,0,7.84,0,0,0,0,0,0,0,0,0
