stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,9,107,22,0,76,0,1,0,11,6,4,0,0,3,0,0,0,0,61,0,0,35,811,33,1,5,19,0,43,102,4,4,59,223,0,0,1,0
 24-34,0,4.1,31.19,11.49,0,234.76,0,0,0.82,21.34,2.46,0,2.46,0,2.46,0.82,1.64,1.64,0,128.05,0,0,51.71,1342.1,6.57,8.21,9.03,0,0,34.48,0,0.82,0,8.21,320.13,0,0,17.24,0.82
 36-46,0,0,17.72,8.86,0,440.7,0,0.81,0,26.59,0.81,0,2.42,2.42,1.61,3.22,0,0.81,0,90.23,0,0.81,32.23,812.11,1.61,4.03,4.83,0,0,12.89,0.81,0,0,0.81,184.5,0,0.81,8.06,2.42
 48-58,0,0,13.77,8.03,0,463.63,0.57,1.72,1.15,33.28,0,0,0.57,1.72,1.15,0.57,0.57,0.57,0,92.96,0,4.59,17.21,417.73,0.57,1.15,3.44,0,0.57,2.87,0,1.15,0,0,72.3,0,0,6.31,0
 60-70,0.98,0,15.7,2.94,0,390.65,0,0,0.98,42.21,1.96,0,0,3.93,0,0.98,1.96,0.98,0,90.3,0.98,8.83,13.74,248.33,0,0.98,1.96,0,0,3.93,0,0,0,0,13.74,0,0,1.96,0
 72-82,0,0,17.67,1.96,0,133.51,1.96,0,1.96,35.34,4.91,0,1.96,0.98,0.98,0,0,1.96,0.98,80.5,0,0.98,7.85,148.23,0.98,3.93,3.93,0,0,0,0,0,0,0,5.89,0.98,0.98,11.78,0.98
 84-94,0,0,27.61,2.12,0,111.51,0,1.06,7.43,19.12,4.25,0,1.06,8.5,3.19,1.06,0,1.06,0,60.54,0,10.62,14.87,116.82,1.06,3.19,3.19,0,0,2.12,0,1.06,0,0,4.25,0,0,8.5,2.12
 96-106,0,0,4.37,2.19,1.09,64.48,0,0,0,21.86,4.37,0,0,3.28,1.09,0,0,1.09,0,37.16,0,3.28,8.74,73.22,1.09,1.09,2.19,0,0,2.19,0,0,0,0,2.19,1.09,0,4.37,0
108-118,0,0,6.13,3.83,0,71.23,0.77,0,0.77,13.79,4.6,0,0,3.06,0.77,0.77,2.3,2.3,0,21.45,0,2.3,8.43,108.77,0.77,1.53,0.77,0,0,1.53,0,0.77,3.83,0,1.53,0.77,0,4.6,0
120,0,0,5.88,15.68,0,99.95,0,0,0,29.4,1.96,0,0,7.84,0,0,1.96,1.96,0,31.36,0,3.92,5.88,131.31,0,1.96,1.96,0,0,1.96,0,0,1.96,0,0,0,1.96,3.92,0
