stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,3.15,0,0,0
 14-21,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,4.1,2.46,0,0,0,0,0.82,1.64,0,0,27.09,0.82,0,0,0,2.46,0,5.75,0
 36-46,0,0,0,1.61,0.81,0,5.64,0,0,0,0,0,0,2.42,0,0.81,18.53,0,0,0,0,0.81,0,6.45,0
 48-58,0,0,0,0,0,0,9.18,0,0,0,0.57,0,0,2.3,0,0.57,10.33,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.93,0.98,0,0,0,0,0,2.94,0,0,2.94,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,1.06,4.25,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,4.6,0.77,0,0,0,0,0,1.53,0,0.77,4.6,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,3.92,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
