stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,immune,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,2,3,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0.82,12.31,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,0,0.81,0.81,0,5.64,0.81,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,0,0,0.57,0,1.15,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0.98,1.96,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
