stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.22,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,78,1,2,0,0,0,0
 24-34,0,0,1.64,0,0.82,1.64,0,0,0,0,0.82,1.64,0,0.82,21.34,1.64,0,0.82,0,340.66,0,0.82,1.64,0,0,1.64
 36-46,0,0,0.81,0,2.42,1.61,0,0.81,0.81,0,0.81,2.42,0,0,12.09,0.81,0,0.81,0,385.11,0,0,2.42,0,0,0
 48-58,0,0.57,1.72,0,1.15,0,1.72,0,0,0.57,0.57,0,0,0,7.46,0,0,1.15,0,118.78,0.57,0,4.02,0,0.57,0
 60-70,0,0,0.98,0,3.93,1.96,0.98,0,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0,37.3,0,0,0.98,0,0,0
 72-82,0,1.96,0,0,1.96,0.98,0.98,0,0,0,3.93,0,0,0,6.87,0,0,0.98,0,28.47,0,0,0.98,0,0.98,0
 84-94,0,1.06,1.06,0,1.06,4.25,0,0,2.12,2.12,1.06,1.06,0,0,2.12,0,0,0,0,81.78,0,0,0,1.06,0,0
 96-106,0,1.09,0,1.09,1.09,3.28,1.09,0,0,0,2.19,0,1.09,0,1.09,0,0,5.46,0,19.67,0,0,0,0,0,0
108-118,0,6.89,0,0,0.77,0.77,0.77,0,0.77,2.3,1.53,0.77,0,0.77,3.83,0,0,1.53,0,17.62,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,1.96,0,7.84,0,0,0,0,0,0
