stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,24,0,0,0,3,0,2,0,1,11,10,0,0
 24-34,0,0.82,9.85,0,3.28,0,0,0,0.82,0,0,0,0,0.82,0,0.82,3.28,4.1,0,0,4.1,55,0,0.82,1.64,0,3.28,0,2.46,0,2.46,18.06,0.82,0
 36-46,0,0,1.61,0,5.64,0.81,0.81,0,1.61,0,0,0,0,0,0,0,0,8.06,0,0.81,1.61,28.2,0,0,0,0,1.61,0,0,0.81,0,12.09,0,0.81
 48-58,0,0,2.87,0.57,18.36,0.57,0.57,0,3.44,0,0,0.57,0,0,0,0,0,4.59,0,0,1.72,21.23,0,0,0,0,2.3,0,0,0,0,6.31,0.57,0.57
 60-70,0,0,0.98,0,20.61,0,1.96,0,7.85,0,0,0.98,0,0,0,0,0,8.83,0.98,0.98,0.98,37.3,0,0.98,0.98,0,1.96,0,0.98,0,0,6.87,0,0.98
 72-82,0,0,0.98,0,37.3,0,0,0.98,5.89,0.98,0,0,0,0,0,0,0,14.72,0,0.98,0.98,30.43,0,0,0,0,1.96,0,1.96,0,0,0.98,0.98,0
 84-94,0,0,0,0,13.81,0,0,0,3.19,1.06,0,0,0,1.06,0,0,1.06,14.87,0,0,1.06,12.74,0,0,0,0,3.19,0,0,0,0,0,3.19,1.06
 96-106,0,0,3.28,0,15.3,0,0,0,4.37,0,0,0,1.09,0,1.09,0,1.09,8.74,1.09,0,1.09,15.3,0,0,2.19,1.09,5.46,0,0,0,0,2.19,1.09,0
108-118,0,0,3.06,0,4.6,0,0,0,2.3,0,0,0,0,0,0,0,0,6.13,0.77,1.53,0.77,13.02,0,0,0,0.77,1.53,0,0,0,0,0.77,0,1.53
120,0,0,1.96,1.96,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0,5.88,0,0,3.92,23.52,3.92,0,1.96,0,3.92,0,0,0,0,0,0,0
